"druga","drugb","weight"
"24","144","3"
"2072","2193","2"
"14","462","2"
"2","840","2"
"27","60","3"
"27","68","3"
"20","287","2"
"12","538","2"
"20","291","2"
"27","76","3"
"20","294","2"
"14","431","3"
"14","487","2"
"14","493","2"
"10","620","2"
"12","563","2"
"26","94","2"
"26","131","2"
"28","69","4"
"25","164","2"
"2","878","3"
"2","881","2"
"28","76","3"
"20","325","3"
"26","133","2"
"14","519","2"
"20","324","2"
"14","521","2"
"12","586","2"
"27","94","2"
"27","123","2"
"20","346","5"
"26","164","3"
"27","144","4"
"11","641","2"
"28","94","2"
"18","372","2"
"20","368","2"
"30","31","3"
"27","154","2"
"14","558","5"
"31","33","3"
"20","378","4"
"27","162","2"
"14","569","2"
"27","168","2"
"30","76","4"
"31","51","4"
"12","640","3"
"20","399","2"
"31","60","13"
"26","216","3"
"12","630","2"
"31","65","4"
"31","69","4"
"18","474","2"
"20","412","2"
"14","602","3"
"31","76","10"
"14","608","6"
"29","144","2"
"2","979","3"
"30","94","2"
"2067","2509","2"
"31","90","3"
"27","216","4"
"31","94","7"
"14","621","2"
"31","81","2"
"31","99","2"
"29","162","2"
"12","692","4"
"20","449","2"
"14","636","2"
"2","1007","3"
"20","408","2"
"30","145","2"
"33","51","2"
"31","119","7"
"30","136","2"
"26","267","2"
"10","753","2"
"27","248","2"
"20","467","5"
"24","346","3"
"31","131","6"
"14","659","2"
"31","133","8"
"2","1036","5"
"33","76","4"
"31","140","5"
"33","82","2"
"27","267","2"
"31","144","8"
"30","162","2"
"18","558","3"
"20","497","2"
"31","147","5"
"31","168","2"
"31","172","4"
"33","85","2"
"31","176","2"
"31","135","2"
"33","119","4"
"33","123","2"
"24","408","2"
"14","721","2"
"31","195","4"
"14","620","3"
"31","202","2"
"2","1103","7"
"33","144","2"
"30","147","5"
"33","147","2"
"6","989","2"
"31","216","3"
"33","155","3"
"12","810","4"
"14","754","4"
"11","840","2"
"20","569","2"
"31","218","2"
"36","65","2"
"26","255","2"
"31","239","2"
"31","242","2"
"14","773","2"
"31","248","3"
"12","840","3"
"14","774","4"
"31","253","2"
"33","200","3"
"31","264","2"
"31","267","4"
"27","221","2"
"14","800","2"
"36","119","2"
"12","865","2"
"20","620","3"
"33","165","2"
"10","868","2"
"20","372","6"
"33","211","2"
"31","262","3"
"23","467","7"
"31","68","2"
"2087","2108","2"
"14","840","2"
"2","1213","2"
"33","253","4"
"12","905","2"
"20","659","2"
"28","412","2"
"36","172","2"
"33","269","4"
"12","921","2"
"40","69","2"
"31","349","4"
"40","76","3"
"40","80","2"
"40","81","3"
"40","85","3"
"20","708","4"
"31","368","2"
"27","495","2"
"31","372","3"
"40","94","2"
"40","60","4"
"33","64","2"
"35","256","2"
"27","372","2"
"33","323","2"
"24","399","2"
"2","1293","3"
"33","335","3"
"31","399","2"
"40","119","3"
"36","248","2"
"31","408","2"
"20","751","7"
"33","349","5"
"20","753","5"
"24","635","2"
"40","131","2"
"20","763","3"
"40","144","5"
"33","364","3"
"40","149","2"
"43","52","2"
"43","60","5"
"40","154","3"
"33","376","2"
"31","421","2"
"31","444","2"
"40","165","2"
"20","787","2"
"2","1348","2"
"14","979","6"
"44","51","2"
"43","81","2"
"13","1007","3"
"33","399","5"
"31","462","4"
"30","495","2"
"2","1356","2"
"2","992","3"
"28","573","3"
"27","608","2"
"40","219","2"
"43","82","5"
"27","561","2"
"43","83","2"
"33","449","2"
"26","262","2"
"43","144","6"
"31","519","2"
"2","1420","5"
"40","243","5"
"31","520","2"
"46","60","2"
"2","1419","2"
"40","248","6"
"36","376","2"
"29","594","2"
"44","119","2"
"10","1194","2"
"40","262","2"
"2083","2466","3"
"43","154","4"
"46","85","2"
"31","251","2"
"20","894","2"
"20","896","3"
"31","558","3"
"44","164","2"
"31","569","2"
"44","172","2"
"40","52","3"
"2","1488","3"
"28","692","3"
"47","103","2"
"31","608","2"
"14","147","2"
"2","1421","4"
"14","1141","4"
"31","621","2"
"49","65","4"
"40","346","2"
"40","349","4"
"31","631","4"
"43","262","2"
"43","246","2"
"50","51","3"
"50","52","6"
"50","53","6"
"50","55","2"
"50","56","3"
"20","987","2"
"40","372","4"
"40","364","3"
"40","376","3"
"37","470","12"
"46","191","5"
"40","377","2"
"31","418","2"
"51","53","3"
"27","777","2"
"50","89","5"
"50","90","2"
"51","60","4"
"33","620","2"
"31","685","2"
"4093","5835","2"
"51","68","2"
"51","69","7"
"51","71","2"
"51","73","3"
"29","758","4"
"51","77","4"
"51","80","3"
"35","577","3"
"51","76","8"
"35","578","3"
"51","89","6"
"52","53","5"
"2067","3125","2"
"51","94","8"
"2082","2235","2"
"51","99","6"
"33","659","2"
"51","96","8"
"6","1502","2"
"51","98","2"
"53","56","2"
"51","119","13"
"52","89","4"
"51","123","5"
"46","278","2"
"50","153","2"
"30","777","3"
"51","129","5"
"51","131","4"
"51","133","4"
"51","136","7"
"51","140","16"
"51","141","14"
"51","142","12"
"51","144","10"
"51","143","7"
"2094","2354","2"
"53","90","2"
"51","154","4"
"51","155","2"
"51","156","2"
"31","777","4"
"40","498","2"
"53","89","3"
"52","133","6"
"31","787","2"
"51","147","3"
"14","1316","3"
"51","170","3"
"51","172","5"
"51","164","6"
"20","1135","3"
"40","502","2"
"51","177","2"
"51","180","2"
"26","399","2"
"51","186","14"
"33","751","3"
"33","753","4"
"51","195","2"
"20","1141","2"
"2","1728","2"
"46","364","2"
"51","216","26"
"51","218","20"
"33","777","3"
"51","220","2"
"31","753","2"
"30","787","2"
"33","787","2"
"40","573","2"
"5854","16948","4"
"51","235","3"
"5854","16949","4"
"52","154","2"
"5854","16950","4"
"51","242","4"
"56","89","2"
"43","467","8"
"51","248","4"
"51","261","5"
"31","881","4"
"51","267","6"
"18","1293","2"
"14","1421","2"
"51","294","2"
"51","66","2"
"31","921","2"
"43","399","4"
"40","646","3"
"33","865","2"
"24","1144","2"
"40","650","2"
"40","399","3"
"20","1267","2"
"14","1466","2"
"14","1467","2"
"43","563","2"
"52","60","2"
"33","881","3"
"51","325","6"
"27","251","3"
"57","144","4"
"40","43","2"
"51","335","2"
"57","89","10"
"60","64","2"
"60","65","10"
"51","346","5"
"60","68","3"
"60","69","8"
"51","349","4"
"14","1497","2"
"60","76","10"
"60","77","4"
"51","360","13"
"60","80","2"
"3850","13666","2"
"51","364","4"
"51","366","2"
"51","367","4"
"31","990","3"
"51","372","3"
"60","96","4"
"60","94","8"
"51","378","3"
"3850","13667","2"
"51","375","2"
"60","102","3"
"31","1006","2"
"60","81","9"
"60","82","8"
"60","90","2"
"51","118","2"
"52","364","2"
"51","399","3"
"60","120","2"
"60","123","2"
"51","404","2"
"57","216","4"
"51","408","3"
"60","133","5"
"40","754","3"
"51","414","2"
"51","415","7"
"51","418","2"
"51","422","3"
"60","143","2"
"31","1046","2"
"33","987","2"
"51","430","6"
"51","427","4"
"60","155","8"
"51","417","2"
"60","154","3"
"60","162","3"
"60","165","2"
"28","216","4"
"12","1224","4"
"51","451","3"
"51","462","6"
"12","1674","5"
"60","186","3"
"64","65","2"
"51","469","19"
"60","191","4"
"64","68","4"
"51","476","7"
"31","1007","2"
"60","200","2"
"29","1164","2"
"44","708","2"
"43","635","2"
"51","493","4"
"60","216","7"
"60","217","3"
"64","94","2"
"65","66","2"
"65","68","5"
"64","101","2"
"51","495","2"
"60","227","2"
"50","538","2"
"65","76","5"
"65","77","3"
"36","981","2"
"4093","6290","2"
"31","1141","2"
"51","519","3"
"60","242","3"
"65","94","9"
"60","248","3"
"60","253","3"
"65","99","2"
"60","239","3"
"60","261","2"
"60","264","14"
"60","267","4"
"66","76","2"
"65","90","3"
"65","119","4"
"50","590","4"
"51","558","4"
"2","2082","11"
"2","2083","4"
"51","563","3"
"65","133","2"
"52","538","2"
"65","143","2"
"65","144","3"
"14","1721","3"
"65","147","4"
"2","2067","4"
"66","120","2"
"65","155","4"
"33","1145","3"
"60","312","2"
"57","408","2"
"68","69","6"
"66","119","3"
"33","1158","2"
"68","76","8"
"68","77","3"
"64","188","2"
"66","143","2"
"66","147","4"
"15","1729","2"
"60","335","3"
"68","89","2"
"51","539","4"
"10","1853","2"
"51","620","3"
"68","94","10"
"51","621","3"
"68","90","2"
"52","590","4"
"60","346","3"
"51","617","3"
"60","349","7"
"51","631","3"
"60","218","3"
"51","628","2"
"60","251","2"
"51","640","2"
"40","981","3"
"60","366","2"
"68","119","3"
"69","89","4"
"65","216","6"
"68","123","5"
"69","94","6"
"53","590","3"
"60","372","5"
"68","125","2"
"51","656","2"
"68","131","2"
"68","129","5"
"60","381","4"
"68","133","5"
"51","657","3"
"36","1128","2"
"66","195","4"
"65","218","2"
"68","136","2"
"68","144","6"
"14","1820","3"
"65","248","5"
"69","123","5"
"60","408","4"
"69","133","4"
"68","164","3"
"69","129","2"
"60","418","4"
"68","172","2"
"69","144","11"
"68","176","2"
"69","149","2"
"51","708","2"
"69","166","2"
"51","725","10"
"65","173","2"
"51","566","3"
"60","462","10"
"68","216","11"
"56","590","2"
"31","1365","2"
"68","220","2"
"51","745","3"
"51","746","2"
"51","753","5"
"73","76","6"
"65","326","5"
"60","482","3"
"69","205","2"
"68","235","3"
"29","1450","2"
"51","773","2"
"68","248","4"
"68","243","3"
"51","777","4"
"60","498","2"
"73","99","4"
"65","120","2"
"69","219","2"
"68","262","4"
"68","267","4"
"60","520","4"
"71","180","2"
"73","123","2"
"65","372","4"
"73","125","7"
"69","248","5"
"69","253","4"
"51","759","2"
"46","972","3"
"73","140","2"
"73","141","2"
"73","142","2"
"73","145","2"
"69","267","4"
"65","367","2"
"68","253","2"
"60","559","3"
"60","558","2"
"69","283","2"
"65","408","2"
"60","502","2"
"60","569","2"
"60","573","3"
"76","77","10"
"76","80","8"
"68","325","3"
"20","1820","2"
"73","177","2"
"66","368","2"
"76","82","2"
"76","89","2"
"76","94","6"
"51","868","2"
"68","345","2"
"68","346","3"
"76","98","2"
"73","195","3"
"66","414","2"
"65","418","3"
"20","1847","2"
"77","80","7"
"4148","4955","2"
"68","364","3"
"20","1853","5"
"76","119","12"
"77","94","5"
"76","129","7"
"68","378","3"
"69","346","4"
"12","2117","3"
"76","138","3"
"76","133","12"
"35","1413","2"
"76","145","3"
"60","641","4"
"51","921","4"
"69","367","2"
"76","144","19"
"76","147","10"
"77","129","5"
"76","155","3"
"76","162","5"
"12","2147","2"
"77","133","8"
"69","372","4"
"73","261","2"
"60","667","3"
"77","144","6"
"77","147","5"
"65","520","4"
"76","126","2"
"68","430","8"
"60","687","10"
"69","413","3"
"69","414","2"
"77","172","4"
"80","81","2"
"51","987","2"
"78","155","2"
"80","94","5"
"78","144","2"
"80","99","5"
"66","519","2"
"29","1682","4"
"76","216","8"
"51","943","2"
"76","242","4"
"80","119","5"
"76","243","3"
"80","123","3"
"76","248","6"
"81","94","2"
"81","96","4"
"77","220","2"
"76","253","5"
"77","134","3"
"80","133","6"
"80","134","2"
"60","755","8"
"68","372","6"
"80","140","3"
"80","141","2"
"80","142","2"
"80","143","3"
"76","267","9"
"64","641","2"
"76","264","2"
"80","144","5"
"77","235","4"
"80","150","2"
"80","145","6"
"80","149","2"
"80","155","2"
"60","773","3"
"82","94","7"
"4093","6827","7"
"77","251","3"
"60","787","3"
"77","216","2"
"77","248","2"
"51","979","2"
"77","267","7"
"77","268","2"
"77","262","5"
"68","558","2"
"69","364","4"
"68","573","5"
"65","667","3"
"1955","7612","4"
"80","195","2"
"82","147","2"
"31","1729","2"
"76","335","3"
"82","154","4"
"82","155","4"
"68","590","2"
"76","349","6"
"76","262","8"
"80","216","2"
"69","573","7"
"77","325","3"
"76","325","4"
"76","131","9"
"76","364","2"
"82","179","2"
"80","243","3"
"76","367","10"
"80","242","2"
"80","248","7"
"76","372","13"
"31","1768","2"
"76","376","5"
"80","253","3"
"68","620","5"
"65","721","2"
"64","751","3"
"85","94","5"
"80","261","2"
"80","267","10"
"84","144","2"
"68","641","2"
"80","251","4"
"76","399","3"
"77","367","5"
"82","216","3"
"81","248","2"
"77","364","3"
"81","253","3"
"85","133","2"
"12","2391","2"
"77","378","2"
"76","420","4"
"82","144","5"
"69","641","2"
"60","921","9"
"68","667","2"
"76","251","3"
"68","692","3"
"68","657","4"
"51","1152","6"
"60","952","2"
"77","372","5"
"80","335","2"
"77","430","4"
"69","427","2"
"84","216","3"
"65","620","3"
"78","408","2"
"51","1246","2"
"68","602","2"
"76","482","3"
"46","1405","3"
"86","179","2"
"80","367","5"
"60","990","7"
"80","372","10"
"86","191","25"
"68","753","3"
"86","196","2"
"60","1004","2"
"86","200","6"
"60","1007","2"
"85","144","3"
"68","553","2"
"77","495","2"
"68","787","2"
"31","1939","2"
"60","1046","2"
"77","522","3"
"80","431","3"
"51","1334","2"
"82","375","2"
"68","810","2"
"90","129","3"
"60","1062","2"
"89","166","2"
"36","1811","3"
"86","268","2"
"86","269","2"
"89","180","2"
"51","1353","3"
"77","559","3"
"80","462","2"
"80","473","2"
"90","119","8"
"20","2336","2"
"77","119","6"
"83","399","2"
"76","620","6"
"90","153","2"
"76","640","3"
"51","1410","5"
"73","725","2"
"60","1141","8"
"76","646","2"
"60","1142","7"
"60","1143","8"
"77","620","4"
"76","657","2"
"51","1433","6"
"76","659","2"
"60","1120","3"
"77","630","3"
"84","399","2"
"76","667","4"
"90","144","3"
"89","267","2"
"86","365","3"
"94","119","13"
"76","559","2"
"82","498","3"
"68","868","3"
"94","129","4"
"81","539","3"
"94","131","3"
"76","694","2"
"94","144","9"
"94","149","2"
"2131","2288","2"
"91","218","2"
"94","155","4"
"51","1493","4"
"96","101","4"
"94","164","4"
"80","602","2"
"76","168","2"
"68","678","2"
"69","948","3"
"51","1497","2"
"90","216","2"
"76","687","2"
"80","620","9"
"94","187","2"
"94","191","5"
"76","754","4"
"78","692","2"
"14","2679","2"
"94","202","2"
"96","144","2"
"60","1263","3"
"80","646","2"
"94","216","11"
"94","220","4"
"77","745","3"
"77","753","4"
"76","787","4"
"71","943","2"
"96","154","2"
"75","800","2"
"94","235","3"
"77","773","2"
"94","248","11"
"94","253","9"
"96","186","13"
"98","99","2"
"86","508","2"
"86","510","2"
"84","573","2"
"94","262","5"
"98","145","2"
"60","1323","3"
"98","147","3"
"99","119","7"
"98","150","3"
"99","118","2"
"96","216","60"
"69","1054","2"
"96","218","46"
"99","125","7"
"76","840","2"
"96","217","15"
"80","621","2"
"99","138","3"
"99","140","5"
"99","141","5"
"99","142","6"
"99","143","6"
"90","408","2"
"80","728","4"
"98","180","4"
"97","212","3"
"99","155","3"
"80","745","3"
"76","868","3"
"96","238","27"
"82","688","2"
"100","125","2"
"80","754","3"
"96","261","18"
"51","1096","3"
"94","325","2"
"94","326","8"
"2","3184","2"
"99","177","5"
"97","243","3"
"80","773","3"
"94","335","5"
"94","239","5"
"94","345","3"
"94","346","2"
"94","349","3"
"99","195","8"
"77","881","2"
"99","205","2"
"81","767","2"
"94","372","10"
"91","469","4"
"77","905","3"
"82","751","2"
"89","538","2"
"94","378","2"
"80","810","2"
"94","267","9"
"99","235","2"
"98","119","3"
"68","1208","2"
"82","777","2"
"89","372","2"
"94","408","4"
"83","754","2"
"94","414","3"
"99","261","3"
"94","417","2"
"94","420","2"
"76","979","6"
"77","943","2"
"98","293","2"
"94","412","3"
"96","366","22"
"94","430","2"
"69","1208","3"
"89","590","3"
"96","373","19"
"80","868","2"
"101","218","3"
"86","687","2"
"101","216","2"
"99","293","4"
"77","979","4"
"101","238","3"
"76","1018","2"
"94","462","2"
"2119","3225","2"
"51","1800","2"
"80","905","2"
"96","415","16"
"94","482","3"
"76","1046","7"
"69","1263","2"
"68","1294","2"
"82","865","2"
"94","502","3"
"94","496","2"
"90","631","3"
"97","418","6"
"23","1811","2"
"94","519","3"
"91","617","9"
"94","528","3"
"96","143","3"
"20","2825","3"
"78","248","2"
"98","414","2"
"98","418","6"
"80","979","3"
"82","921","3"
"94","485","2"
"77","485","5"
"76","521","2"
"81","144","2"
"94","563","4"
"99","414","7"
"94","573","4"
"51","1907","2"
"94","572","2"
"76","1128","2"
"80","1018","2"
"99","431","2"
"81","990","2"
"96","539","32"
"106","227","2"
"97","510","3"
"96","540","19"
"98","482","2"
"97","496","3"
"51","1943","4"
"82","987","2"
"91","710","3"
"82","990","3"
"94","620","6"
"98","200","4"
"94","628","5"
"94","631","3"
"85","248","2"
"99","482","2"
"94","646","2"
"76","981","2"
"94","657","5"
"97","566","3"
"108","227","2"
"51","1292","2"
"76","186","2"
"80","1103","2"
"76","1194","2"
"86","921","2"
"96","615","2"
"69","1453","2"
"97","589","3"
"85","502","2"
"76","1251","3"
"68","1502","4"
"14","3184","2"
"76","136","6"
"60","981","2"
"80","1145","2"
"82","1091","2"
"94","721","9"
"86","974","2"
"69","1502","4"
"98","599","2"
"97","641","6"
"76","1294","3"
"76","1292","2"
"86","988","2"
"81","1145","2"
"98","620","3"
"94","745","2"
"97","482","2"
"81","1152","3"
"94","751","3"
"99","599","2"
"98","630","2"
"101","539","2"
"76","239","4"
"94","753","2"
"77","1294","3"
"99","620","3"
"69","284","2"
"94","787","3"
"89","943","2"
"77","1316","2"
"69","787","2"
"60","1841","2"
"76","1353","2"
"94","133","8"
"94","800","2"
"40","1811","3"
"77","1145","2"
"89","979","2"
"18","3184","2"
"94","836","2"
"68","418","2"
"98","722","2"
"97","755","3"
"20","3146","2"
"80","1294","2"
"76","1421","4"
"118","119","2"
"68","1674","2"
"97","777","5"
"20","2760","2"
"90","94","2"
"118","133","3"
"98","754","2"
"99","725","4"
"99","728","6"
"82","981","2"
"94","889","2"
"73","267","2"
"94","894","2"
"76","753","2"
"119","125","12"
"119","126","2"
"108","469","2"
"119","131","10"
"119","133","10"
"90","131","3"
"119","138","2"
"119","140","2"
"119","141","2"
"119","142","2"
"119","143","4"
"119","145","2"
"119","147","8"
"68","1729","5"
"119","149","2"
"119","144","13"
"82","482","2"
"76","164","4"
"51","2267","4"
"119","162","2"
"120","133","2"
"118","195","2"
"119","165","5"
"76","1497","2"
"119","172","4"
"120","147","2"
"69","1729","7"
"51","2289","3"
"98","133","4"
"119","176","2"
"51","1316","2"
"119","200","3"
"106","605","2"
"77","563","2"
"94","989","2"
"119","216","11"
"119","218","2"
"94","990","7"
"51","2336","2"
"84","1316","2"
"118","267","2"
"119","241","3"
"119","248","8"
"119","235","5"
"119","251","7"
"119","253","4"
"123","131","2"
"123","133","5"
"119","262","4"
"108","605","2"
"118","293","2"
"123","143","5"
"123","144","6"
"119","268","3"
"123","125","2"
"98","923","2"
"99","896","5"
"123","154","3"
"94","1054","2"
"80","1497","2"
"80","1421","2"
"98","943","3"
"119","293","4"
"86","1320","4"
"94","1007","3"
"69","1851","2"
"83","1420","2"
"123","147","4"
"51","2416","2"
"97","990","4"
"68","412","2"
"60","2147","5"
"101","881","2"
"99","943","2"
"119","326","3"
"94","1103","3"
"69","1875","2"
"125","147","2"
"123","216","14"
"94","1116","2"
"123","218","13"
"119","346","3"
"123","225","2"
"118","372","2"
"68","344","2"
"51","2468","2"
"119","367","10"
"73","1785","3"
"94","1145","2"
"123","248","2"
"97","1046","3"
"119","372","10"
"84","136","3"
"123","165","2"
"96","1096","39"
"96","1097","2"
"125","200","3"
"118","418","2"
"76","1729","2"
"119","399","3"
"119","402","2"
"69","1955","2"
"125","216","2"
"123","267","2"
"82","251","2"
"96","1135","2"
"68","890","2"
"96","1152","22"
"123","262","2"
"119","444","3"
"120","418","2"
"129","144","3"
"129","145","2"
"76","1790","2"
"129","147","8"
"31","3184","2"
"94","1251","2"
"76","1811","2"
"129","172","6"
"129","174","2"
"129","155","4"
"119","482","2"
"53","2536","2"
"123","367","2"
"129","149","3"
"60","2316","2"
"123","372","6"
"51","2611","3"
"131","133","11"
"120","474","2"
"60","2336","5"
"130","172","2"
"76","1803","3"
"131","144","10"
"94","1292","2"
"119","520","4"
"119","521","3"
"131","149","3"
"89","1453","2"
"129","216","4"
"98","1179","3"
"119","519","2"
"129","220","4"
"131","162","2"
"68","2117","3"
"131","165","2"
"101","1096","3"
"94","327","6"
"119","544","2"
"129","235","4"
"123","346","2"
"129","239","2"
"120","520","3"
"129","248","2"
"119","558","4"
"119","559","2"
"80","1778","2"
"131","176","4"
"133","144","14"
"133","149","4"
"133","150","3"
"131","216","3"
"119","563","3"
"4209","4881","4"
"123","399","2"
"129","298","3"
"133","176","3"
"60","2289","2"
"65","2288","2"
"2","4243","2"
"131","248","8"
"119","620","12"
"131","253","4"
"99","1246","3"
"99","1250","3"
"119","630","3"
"129","325","5"
"129","306","3"
"133","205","3"
"135","144","2"
"119","646","2"
"123","528","3"
"65","558","3"
"119","640","2"
"133","225","2"
"119","608","7"
"97","1141","2"
"97","1353","4"
"129","364","8"
"129","367","2"
"133","245","2"
"136","144","2"
"133","242","4"
"68","2264","2"
"133","253","4"
"129","378","3"
"133","251","5"
"133","248","11"
"119","692","2"
"133","262","11"
"96","1410","36"
"133","267","9"
"125","521","5"
"136","162","2"
"129","404","3"
"131","349","3"
"94","1500","2"
"94","1502","2"
"119","728","3"
"129","420","3"
"138","144","3"
"126","462","2"
"131","364","2"
"129","425","5"
"131","367","4"
"129","430","12"
"85","1729","2"
"69","2289","3"
"136","195","3"
"119","746","4"
"76","2044","2"
"76","2067","2"
"76","2083","2"
"119","750","2"
"131","325","6"
"119","753","2"
"98","1405","2"
"68","2336","4"
"119","758","2"
"129","450","4"
"69","2318","2"
"133","335","2"
"119","773","6"
"119","774","2"
"123","620","2"
"119","745","4"
"133","349","3"
"138","195","2"
"119","787","2"
"119","123","6"
"133","357","2"
"140","141","20"
"140","142","14"
"140","143","19"
"99","1419","2"
"125","608","5"
"133","367","5"
"138","216","2"
"133","372","9"
"131","413","4"
"133","383","2"
"98","1472","2"
"141","142","16"
"141","143","13"
"140","177","2"
"90","1719","2"
"133","413","3"
"140","195","2"
"99","1472","3"
"142","143","7"
"2158","3184","2"
"141","177","2"
"124","708","2"
"133","402","4"
"99","1494","2"
"20","3943","2"
"126","659","5"
"141","195","2"
"131","510","2"
"129","573","2"
"136","360","10"
"142","177","3"
"136","366","2"
"136","367","5"
"119","896","2"
"141","218","10"
"133","462","2"
"142","195","2"
"133","474","3"
"118","943","2"
"129","608","4"
"143","174","3"
"144","147","14"
"94","1695","2"
"144","150","3"
"68","2509","2"
"144","154","8"
"144","155","3"
"142","218","11"
"90","608","5"
"96","1649","14"
"143","195","3"
"144","162","3"
"119","943","6"
"144","172","8"
"144","173","2"
"145","147","6"
"133","520","5"
"145","150","2"
"99","1576","2"
"145","149","3"
"133","528","2"
"144","186","2"
"129","656","3"
"145","162","3"
"143","216","5"
"126","754","3"
"143","218","9"
"144","200","4"
"144","201","2"
"144","205","2"
"142","267","6"
"136","451","2"
"60","2810","2"
"144","218","2"
"144","216","10"
"144","217","2"
"136","469","11"
"138","408","2"
"141","303","5"
"143","248","3"
"133","553","2"
"144","235","3"
"94","1785","2"
"143","235","2"
"96","1729","3"
"144","242","3"
"147","150","4"
"144","245","2"
"20","4089","4"
"144","253","9"
"119","1029","3"
