fcid_code,age,gender,ethnicity,height,bodyweight,intake_bw
103296000,1,2,1,84.0,9.9,1.8257131313
103296000,1,2,4,78.0,10.1,2.6964840396
103296000,1,2,4,78.0,10.1,2.0969813069
103296000,1,1,1,87.7,12.1,0.9602776860
103296000,1,1,4,82.8,13.0,0.6206923077
103296000,1,2,4,80.2,10.9,2.9611009174
103296000,1,1,3,95.1,15.7,0.9528611465
103296000,1,1,1,74.6,9.6,0.7262100000
103296000,1,2,5,85.1,14.3,1.8959328671
103296000,1,2,1,75.9,9.2,0.4841400000
103296000,1,1,4,78.5,10.6,0.8525735849
103296000,1,2,4,75.1,8.9,0.3916638202
103296000,1,2,1,76.4,8.9,0.7833276404
103296000,1,2,3,91.8,11.9,0.6238218487
103296000,1,1,3,78.0,11.4,0.3539035088
103296000,1,1,1,87.4,12.0,0.4841400000
103296000,1,1,4,87.8,13.9,0.4179625899
103296000,1,2,2,80.2,11.7,0.5958646154
103296000,1,1,1,87.7,12.1,0.0648267769
103296000,1,2,4,79.5,11.7,0.2450699145
103296000,1,2,1,80.7,11.5,0.3873120000
103296000,1,2,4,87.4,11.5,1.5717008696
103296000,1,1,1,78.1,9.8,0.4742595918
103296000,1,1,1,84.1,11.3,1.7594704425
103296000,1,2,3,84.7,10.6,0.3288498113
103296000,1,2,4,78.6,10.8,0.5498874074
103296000,1,1,4,77.4,9.3,0.4338172043
103296000,1,1,4,78.8,11.9,1.2047554622
103296000,1,2,5,87.0,13.6,0.0854364706
103296000,1,2,2,92.2,13.5,0.3442773333
103296000,1,1,1,85.7,15.0,1.0328320000
103296000,1,1,4,78.0,10.4,0.7758653846
103296000,1,2,4,75.8,9.0,1.7931111111
103296000,1,1,1,88.7,12.5,1.1967936000
103296000,1,1,4,82.9,12.1,1.0002892562
103296000,1,1,4,75.2,9.8,0.6059983673
103296000,1,2,4,91.0,14.5,1.6694482759
103296000,1,2,4,75.8,9.0,0.8965555556
103296000,1,1,4,77.9,9.5,0.0353337263
103296000,1,1,4,87.4,12.7,1.1779464567
103296000,1,1,4,79.8,11.3,0.3941670796
103296000,1,1,4,84.9,13.8,0.6548753623
103296000,1,2,1,79.9,10.0,0.9037280000
103296000,1,1,2,81.5,13.4,0.1734232836
103296000,1,1,1,78.3,9.2,1.1226434783
103296000,2,1,1,90.5,13.6,0.6645058824
103296000,2,2,4,91.5,14.5,0.5119641379
103296000,2,2,3,90.4,13.5,0.6598648889
103296000,2,1,1,90.8,11.5,1.5717008696
103296000,2,1,4,91.6,13.4,0.9032462687
103296000,2,2,4,88.6,13.2,1.0699983030
103296000,2,1,4,90.6,12.6,2.3950841270
103296000,2,2,1,90.3,12.6,0.2356660317
103296000,2,1,1,91.3,14.1,0.6436887376
103296000,2,2,1,92.2,13.9,1.5237058417
103296000,2,2,3,93.3,16.4,0.7084975610
103296000,2,1,4,91.5,14.1,0.4294310355
103296000,2,1,3,94.6,14.6,1.1743158356
103296000,2,1,3,94.8,15.1,0.1966484768
103296000,2,1,4,88.1,13.1,1.3797374046
103296000,2,2,3,89.4,13.7,0.8834671533
103296000,2,2,4,88.2,12.0,0.6724166667
103296000,2,1,2,91.6,16.0,1.1296600000
103296000,2,1,2,93.8,15.8,0.6312202532
103296000,2,2,4,95.2,14.2,1.2728563380
103296000,2,1,1,95.5,15.8,0.7660443038
103296000,2,1,3,92.7,12.0,1.5062133333
103296000,2,1,4,94.1,22.2,0.6457923423
103296000,2,1,5,92.8,13.0,1.3903507692
103296000,2,2,4,83.3,11.6,1.8258199310
103296000,2,1,3,88.7,13.2,0.5623848485
103296000,2,2,3,98.5,14.9,0.2989320805
103296000,2,1,5,100.8,14.9,0.6693476510
103296000,2,2,1,89.7,11.6,0.3005006897
103296000,2,2,4,89.5,15.1,1.1969907285
103296000,2,2,3,84.8,11.2,0.7680316071
103296000,2,1,1,91.4,14.0,2.0480842857
103296000,2,2,1,92.0,17.1,0.6794947368
103296000,2,1,1,85.3,11.6,0.4635501379
103296000,2,2,3,83.9,11.0,1.0563054545
103296000,2,2,4,84.1,10.7,0.8482253458
103296000,2,1,4,88.6,12.1,0.4166538182
103296000,2,2,1,92.0,17.1,0.3540922573
103296000,2,2,2,89.5,11.1,0.7749508108
103296000,2,2,5,89.4,14.3,0.4062713287
103296000,2,1,4,91.3,14.0,0.6455200000
103296000,2,1,3,93.9,14.3,1.4445202797
103296000,2,1,4,97.7,15.0,0.8069000000
103296000,2,1,3,91.0,13.6,3.3225294118
103296000,2,2,4,94.1,12.2,0.7619252459
103296000,2,1,1,85.5,11.6,1.5581517241
103296000,2,1,4,88.4,14.5,2.5820800000
103296000,2,2,1,95.5,15.6,0.5817955897
103296000,2,1,1,94.5,15.5,0.5830503226
103296000,2,1,3,88.9,12.6,2.0777666667
103296000,2,2,1,85.2,11.1,0.1820250090
103296000,2,2,3,92.1,13.8,0.8606933333
103296000,2,2,5,87.4,12.1,0.4121190083
103296000,2,2,2,92.7,13.8,0.4209913043
103296000,2,2,4,82.5,11.5,0.7959542261
103296000,2,2,3,84.5,12.6,1.4344888889
103296000,2,1,2,91.0,12.2,0.6201224918
103296000,2,1,4,92.0,12.3,1.4694764228
103296000,2,1,4,88.5,14.6,0.3183386301
103296000,2,1,5,91.9,13.6,1.3290117647
103296000,2,2,3,83.7,11.9,1.5188705882
103296000,2,2,4,90.6,12.0,1.0435906667
103296000,2,2,5,94.3,13.7,1.0919649635
103296000,2,1,2,88.1,12.9,0.9382558140
103296000,2,2,5,97.3,13.8,0.3742144928
103296000,2,2,3,91.0,13.0,1.2413846154
103296000,2,2,3,88.6,14.5,0.4006675862
103296000,2,1,1,87.6,13.0,0.5753815385
103296000,2,1,4,91.5,13.9,0.8359251799
103296000,2,1,4,91.6,13.4,1.9567927164
103296000,2,2,3,81.7,10.5,2.4933200000
103296000,2,2,4,95.4,13.5,1.3555920000
103296000,2,2,4,91.5,14.5,1.2465213793
103296000,2,1,2,85.1,12.9,0.9382558140
103296000,2,1,4,86.5,13.1,2.3095818626
103296000,2,2,1,86.7,12.4,1.4576258065
103296000,2,1,1,87.3,12.6,0.7203183492
103296000,2,2,4,85.1,9.8,1.8443428571
103296000,2,1,4,88.4,13.1,1.2319083969
103296000,2,1,4,95.1,14.1,1.5020929929
103296000,2,1,3,85.4,11.8,0.9846915254
103296000,2,2,5,92.0,14.4,0.2801736111
103296000,2,2,2,87.7,12.0,0.2904840000
103296000,2,2,1,93.9,14.1,1.0017005390
103296000,2,2,3,88.2,13.1,1.2319083969
103296000,2,2,4,82.5,11.5,1.5717008696
103296000,2,1,1,91.8,12.3,0.5248130081
103296000,2,2,3,84.8,11.2,0.7262100000
103296000,2,1,1,85.5,10.7,0.6032897196
103296000,2,2,3,90.6,13.8,0.4209913043
103296000,2,1,4,87.6,13.2,2.7385696970
103296000,2,2,4,87.5,13.8,0.4387664928
103296000,2,1,1,89.7,13.1,1.0668293588
103296000,2,1,4,88.5,14.6,0.6189917808
103296000,2,1,2,91.0,12.2,1.4815213115
103296000,2,2,1,90.2,12.9,0.4503627907
103296000,2,1,4,94.4,13.8,0.8770652174
103296000,2,1,1,96.8,15.4,0.5868363636
103296000,2,1,2,100.2,17.3,0.2332080925
103296000,2,2,1,90.5,14.3,0.8125426573
103296000,2,1,3,85.4,12.1,0.7468826446
103296000,2,1,1,90.0,13.6,1.3290117647
103296000,2,2,3,87.6,11.6,1.7807448276
103296000,2,1,4,93.7,15.4,0.9171414026
103296000,2,2,1,96.7,17.2,0.6755441860
103296000,2,2,1,93.0,14.0,1.2910400000
103296000,2,1,1,91.1,13.7,1.2739591241
103296000,2,2,3,87.8,14.5,0.5564827586
103296000,2,1,3,92.9,14.7,0.7632612245
103296000,2,2,1,85.6,11.2,0.7204464286
103296000,2,1,3,88.3,11.5,0.5051895652
103296000,2,1,4,93.0,14.0,0.9850912500
103296000,2,1,4,83.5,12.4,1.4576258065
103296000,2,2,5,90.9,14.6,0.1591693151
103296000,2,1,4,90.9,16.2,0.2490432099
103296000,2,2,1,88.8,12.1,0.5761666116
103296000,2,1,5,105.1,20.1,0.6021641791
103296000,2,1,3,96.3,14.2,0.6391557183
103296000,2,1,3,89.6,13.3,0.2155878195
103296000,2,2,1,79.8,10.5,0.8606933333
103296000,2,1,3,88.8,12.4,1.3014516129
103296000,2,1,1,100.8,17.9,1.0097519553
103296000,2,2,5,92.0,14.4,0.3734153889
103296000,2,2,4,87.5,13.8,1.1694202899
103296000,2,1,3,91.9,13.5,0.8798198519
103296000,2,2,3,83.9,11.0,1.6431418182
103296000,2,2,4,85.6,11.0,1.6431418182
103296000,2,2,4,91.7,12.1,0.3841110744
103296000,2,1,3,95.0,12.8,0.6303906250
103296000,2,2,2,91.9,16.8,1.0758666667
103296000,2,2,3,89.1,14.5,0.2404005517
103296000,2,2,2,89.8,14.5,0.8347241379
103296000,2,2,1,89.7,13.5,0.5977037037
103296000,2,1,2,93.8,19.2,0.4480184375
103296000,2,2,2,93.2,13.6,1.3290117647
103296000,2,2,3,94.7,15.5,0.5855491097
103296000,2,2,2,91.9,13.3,1.3589894737
103296000,2,2,4,86.7,11.3,0.8100419115
103296000,2,2,3,88.5,12.4,0.4685225806
103296000,2,2,2,93.9,14.9,1.2130577181
103296000,2,2,2,93.2,13.6,1.3290117647
103296000,2,1,4,97.7,15.0,0.6050674133
103296000,2,1,1,86.7,11.1,1.2724304144
103296000,2,1,4,95.6,15.4,0.7859415584
103296000,2,2,1,91.9,13.8,0.5051895652
103296000,2,1,1,95.9,14.5,0.6259318069
103296000,2,1,1,91.4,14.1,0.8423807092
103296000,2,1,3,90.2,13.6,1.4666588235
103296000,2,2,3,98.3,16.8,0.3458142857
103296000,2,1,4,86.1,13.4,0.9032462687
103296000,2,1,3,85.5,13.4,0.6618546493
103296000,2,2,4,96.0,16.8,1.0758666667
103296000,2,2,1,94.1,13.2,0.6112878788
103296000,2,1,4,86.1,12.6,1.3832571429
103296000,2,1,4,91.8,17.0,1.0632094118
103296000,2,2,1,89.9,12.2,1.4815213115
103296000,2,1,1,86.7,11.1,1.6283387387
103296000,2,1,1,96.1,14.6,1.2379835616
103296000,2,1,4,97.1,17.1,0.2515191228
103296000,2,1,4,96.6,16.7,0.2415868263
103296000,2,2,1,84.5,12.3,0.9446634146
103296000,2,1,3,95.9,16.4,0.2673775244
103296000,2,2,4,83.3,11.6,1.3912068966
103296000,2,2,4,87.4,12.6,0.5533028571
103296000,2,2,3,95.8,13.7,3.0918994453
103296000,2,2,3,85.3,12.8,0.6959512500
103296000,2,2,2,87.2,12.9,0.5004031008
103296000,2,1,1,100.6,15.9,1.0149685535
103296000,2,2,3,88.0,12.6,1.1475911111
103296000,2,2,1,90.3,12.6,1.2295619048
103296000,2,1,3,87.1,11.8,0.4923457627
103296000,2,1,3,92.4,13.9,0.5015551079
103296000,2,2,4,97.2,17.0,1.5948141176
103296000,2,1,3,89.0,14.1,0.9064748936
103296000,2,1,2,92.9,13.6,0.5933088235
103296000,2,2,1,94.6,13.4,0.4335582090
103296000,2,1,2,92.5,13.8,1.3097507246
103296000,2,1,2,87.2,12.6,0.4267604444
103296000,2,2,4,91.3,13.2,0.6112878788
103296000,2,2,5,87.3,12.2,0.7407606557
103296000,2,1,3,90.0,13.6,0.5933088235
103296000,2,2,3,92.1,13.8,0.2923550725
103296000,2,2,5,89.4,12.0,0.6724166667
103296000,2,2,3,90.7,10.5,0.2213211429
103296000,2,1,5,92.3,13.5,0.2988518519
103296000,2,2,4,89.1,13.1,1.3969841221
103296000,2,1,1,87.3,12.6,1.1209506032
103296000,2,1,4,91.8,16.7,1.4495209581
103296000,2,2,4,87.2,14.5,0.9740674207
103296000,2,1,1,95.5,15.8,0.7354025316
103296000,2,1,2,86.6,13.3,1.3589894737
103296000,2,2,3,92.8,14.3,2.5279104895
103296000,2,1,3,80.9,11.9,0.4819021849
103296000,2,2,3,91.4,13.0,0.4794846154
103296000,2,1,1,91.4,14.1,1.2635710638
103296000,2,1,1,100.0,15.3,0.4685160131
103296000,3,1,4,100.9,17.0,0.6233300000
103296000,3,2,5,107.4,18.9,0.9563259259
103296000,3,1,1,92.4,13.4,0.7707701493
103296000,3,2,3,96.1,15.3,1.0547712418
103296000,3,1,3,107.1,19.9,0.5190110553
103296000,3,2,4,104.4,21.8,0.2131992661
103296000,3,1,2,97.0,15.1,0.9353627550
103296000,3,1,1,99.3,28.4,0.3466260563
103296000,3,2,3,96.0,13.1,1.3323083969
103296000,3,2,5,101.9,15.3,0.3037741176
103296000,3,2,5,103.2,19.4,0.5989360825
103296000,3,2,3,92.7,13.5,1.1081422222
103296000,3,1,4,101.3,18.0,0.2800839556
103296000,3,1,4,114.3,27.3,0.6620717949
103296000,3,1,5,94.2,13.9,1.3003280576
103296000,3,2,1,92.5,12.2,0.4087409836
103296000,3,2,3,104.6,21.3,0.8485708920
103296000,3,1,4,101.9,20.0,2.0656640000
103296000,3,2,3,97.1,14.6,0.6216446027
103296000,3,2,5,103.2,19.4,0.2771743093
103296000,3,1,3,98.3,18.3,0.2938350601
103296000,3,1,1,101.8,14.7,0.5489115646
103296000,3,1,3,99.4,16.1,0.3339864348
103296000,3,1,3,96.3,13.5,1.1954074074
103296000,3,1,3,94.7,14.0,0.6639634286
103296000,3,2,4,94.6,14.4,1.2708675000
103296000,3,2,3,99.7,17.8,0.3401672809
103296000,3,1,1,99.1,14.9,0.9479179597
103296000,3,1,5,98.8,14.4,1.4707993889
103296000,3,2,3,92.1,13.4,0.5202698507
103296000,3,1,3,102.3,15.6,0.9053831795
103296000,3,2,1,96.3,14.4,0.4841400000
103296000,3,2,4,97.8,17.9,0.3004012067
103296000,3,1,4,86.7,11.9,0.6780672269
103296000,3,2,5,102.7,17.7,0.4049884181
103296000,3,2,4,96.1,12.8,1.4120750000
103296000,3,2,3,99.1,16.5,0.3669683394
103296000,3,2,4,106.2,19.3,0.7318123109
103296000,3,1,3,98.3,18.3,0.4959568962
103296000,3,2,4,98.3,14.2,1.2728563380
103296000,3,1,3,103.9,19.0,3.2615747368
103296000,3,1,4,100.0,14.4,1.2551777778
103296000,3,1,1,100.1,15.6,0.5817955897
103296000,3,1,5,87.6,11.5,0.5265197913
103296000,3,1,4,100.9,15.3,1.1813437908
103296000,3,2,3,101.1,14.8,1.0904054054
103296000,3,2,3,96.7,14.7,0.3952163265
103296000,3,1,3,103.3,18.0,1.0041422222
103296000,3,2,3,105.2,15.9,0.2192332075
103296000,3,1,1,108.4,20.3,0.5962315271
103296000,3,1,4,92.7,16.9,0.6875360947
103296000,3,1,3,103.1,20.1,0.2312310448
103296000,3,1,4,106.5,17.0,0.8201901176
103296000,3,1,3,98.6,17.7,0.2625844068
103296000,3,2,3,97.0,14.2,0.8182647887
103296000,3,2,3,91.7,14.0,0.5763571429
103296000,3,2,4,102.2,18.8,0.6100676596
103296000,3,2,4,102.2,18.8,0.4575507447
103296000,3,2,3,99.3,15.3,0.3797176471
103296000,3,1,3,96.3,14.1,1.0529758865
103296000,3,1,1,97.0,16.3,0.4277065031
103296000,3,2,4,106.5,17.4,1.2172132874
103296000,3,2,3,101.4,17.3,0.8647352601
103296000,3,2,3,104.6,21.3,0.4261038122
103296000,3,1,4,99.5,17.8,1.8132584270
103296000,3,1,4,98.1,16.1,0.8772656894
103296000,3,1,1,97.2,18.1,0.3851721547
103296000,3,2,4,93.9,14.8,0.8178040541
103296000,3,2,3,103.2,16.2,0.4303466667
103296000,3,1,1,101.1,16.3,1.1088687117
103296000,3,1,3,107.1,19.9,1.0380221106
103296000,3,1,4,105.2,17.9,0.5048759777
103296000,3,2,1,93.3,13.4,0.6021641791
103296000,3,1,1,101.7,14.9,0.6238582550
103296000,3,1,3,105.9,19.3,0.5351461140
103296000,3,1,1,103.5,16.6,0.4860843373
103296000,3,2,3,107.4,22.8,0.3980706667
103296000,3,1,3,95.9,13.2,0.6846424242
103296000,3,1,1,96.7,13.5,1.3388562963
103296000,3,2,4,97.1,15.8,1.1582589873
103296000,3,2,5,102.5,15.6,0.6620717949
103296000,3,1,4,101.3,18.0,0.7846654222
103296000,3,1,3,107.4,18.6,0.7707844086
103296000,3,1,4,100.9,18.4,1.2629739130
103296000,3,1,3,99.4,15.9,1.0149685535
103296000,3,2,3,103.7,18.2,0.9931076923
103296000,3,2,2,101.0,14.2,0.5682394366
103296000,3,1,1,98.8,13.7,0.4240642336
103296000,3,1,1,94.8,14.8,0.2726013514
103296000,3,2,3,98.3,17.2,0.5276750698
103296000,3,2,1,97.0,13.4,0.4335582090
103296000,3,1,4,104.3,18.7,0.9786359358
103296000,3,1,4,106.5,19.1,0.9463120419
103296000,3,2,1,93.8,13.7,0.2544385401
103296000,3,2,5,101.9,15.3,0.7594352941
103296000,3,2,4,98.0,14.8,1.2212540541
103296000,3,2,3,97.1,14.6,0.9673957260
103296000,3,2,2,100.7,15.1,1.1969907285
103296000,3,2,4,97.7,14.8,1.2212540541
103296000,3,1,4,96.2,14.3,1.4810846993
103296000,3,2,2,104.2,15.2,1.2039797368
103296000,3,2,5,91.7,13.5,0.4303466667
103296000,3,1,4,98.3,15.8,1.3404753924
103296000,3,1,4,111.1,28.5,0.6123943860
103296000,3,2,4,108.3,30.9,0.2924686084
103296000,3,2,1,100.9,16.7,1.0823089820
103296000,3,1,4,100.9,17.0,0.2933317647
103296000,3,1,2,99.7,17.4,1.0387678161
103296000,3,2,1,105.2,18.6,0.4372877419
103296000,3,1,1,105.7,19.1,1.8483501990
103296000,3,2,4,96.7,16.3,1.1088687117
103296000,3,2,4,91.3,13.4,1.5805605373
103296000,3,1,4,107.6,19.0,0.9512926316
103296000,3,2,4,103.3,20.9,0.8756216268
103296000,3,2,4,104.7,17.1,1.0192421053
103296000,3,1,1,102.8,18.2,0.9931076923
103296000,3,2,4,97.8,17.9,0.9578218547
103296000,3,1,1,101.6,16.8,0.3413473810
103296000,3,1,3,102.3,16.0,0.2521562500
103296000,3,2,4,97.7,14.0,1.2910400000
103296000,3,1,1,94.5,15.1,0.2949727152
103296000,3,1,3,91.4,12.8,0.2723287500
103296000,3,1,4,101.4,16.5,0.2112610909
103296000,3,1,1,94.5,15.1,0.4916211921
103296000,3,2,1,99.1,15.8,1.3404753924
103296000,3,1,3,105.9,23.1,0.6986147186
103296000,3,2,2,100.2,16.5,1.9104800000
103296000,3,1,3,94.7,14.0,0.8299542857
103296000,3,2,1,97.5,15.1,0.8015562914
103296000,3,2,5,105.0,15.0,1.2049706667
103296000,3,1,4,106.5,19.1,0.9463120419
103296000,3,2,3,107.4,22.8,0.1769517544
103296000,4,2,4,108.6,16.8,0.8407129524
103296000,4,2,1,102.3,20.0,0.0742348000
103296000,4,2,5,110.1,16.1,0.7517701863
103296000,4,2,4,105.3,24.7,1.5157959514
103296000,4,1,3,116.6,22.0,0.7933290909
103296000,4,2,1,101.1,12.0,1.2910400000
103296000,4,2,1,100.9,14.6,0.5526712329
103296000,4,1,3,110.2,17.6,4.1592027273
103296000,4,2,2,110.8,29.0,0.3116303448
103296000,4,1,1,100.0,16.3,0.7128441718
103296000,4,1,1,105.9,15.7,1.8263171975
103296000,4,2,5,105.2,16.9,0.4241594675
103296000,4,2,3,107.7,18.9,0.9563259259
103296000,4,1,4,112.9,30.8,0.3493772208
103296000,4,1,4,113.1,30.8,0.2946756883
103296000,4,2,1,107.0,18.4,0.9823130435
103296000,4,1,4,102.0,16.3,0.3714710184
103296000,4,1,3,108.7,23.2,0.5217025862
103296000,4,2,3,110.5,19.6,1.0805873061
103296000,4,1,4,114.3,20.5,1.7635678049
103296000,4,1,3,105.8,16.3,0.6118576687
103296000,4,1,5,107.6,16.5,0.9066618182
103296000,4,2,3,112.2,18.4,0.4674975000
103296000,4,1,4,105.9,16.8,0.4802976190
103296000,4,1,2,108.1,18.5,0.9770032432
103296000,4,1,4,114.9,19.3,0.8883425492
103296000,4,2,3,98.1,14.9,0.3985761074
103296000,4,1,3,115.2,26.4,1.3692848485
103296000,4,2,3,108.7,20.3,0.4451862069
103296000,4,1,4,107.8,18.4,0.9823130435
103296000,4,1,2,103.7,17.0,1.0632094118
103296000,4,1,3,108.4,21.4,0.6599989533
103296000,4,2,5,106.3,20.5,1.3225287805
103296000,4,1,3,105.9,21.8,0.4163307890
103296000,4,1,2,105.9,17.4,0.5216098391
103296000,4,2,2,101.9,15.7,0.8996164076
103296000,4,2,4,105.3,17.5,0.7491720686
103296000,4,1,3,104.2,17.8,1.5231370787
103296000,4,2,4,100.7,14.8,1.2212540541
103296000,4,1,3,104.2,17.6,0.5868363636
103296000,4,1,3,93.8,12.3,1.4694764228
103296000,4,1,1,114.8,30.2,0.2671854305
103296000,4,1,4,94.2,14.5,1.2621028966
103296000,4,1,3,103.1,16.0,0.5043125000
103296000,4,2,1,104.9,18.0,0.5020711111
103296000,4,2,1,112.1,19.4,0.9360040000
103296000,4,2,3,110.9,26.9,0.8998884758
103296000,4,1,3,101.3,15.5,1.1806769032
103296000,4,1,4,110.1,17.1,0.6794947368
103296000,4,1,3,116.0,19.3,0.9365056995
103296000,4,2,3,102.2,15.5,0.7808709677
103296000,4,1,3,108.4,21.4,0.6599989533
103296000,4,2,3,106.1,19.3,1.0702922280
103296000,4,1,4,106.2,19.9,0.3042702312
103296000,4,1,3,104.2,17.6,1.6871545455
103296000,4,2,5,111.0,18.2,0.1915279121
103296000,4,1,3,108.0,22.5,1.2551777778
103296000,4,1,1,109.6,16.8,0.5402387619
103296000,4,1,4,107.2,21.9,0.3684474886
103296000,4,2,4,102.2,14.5,2.4930427586
103296000,4,2,1,107.1,22.0,1.4670909091
103296000,4,2,4,102.1,16.3,0.5615627975
103296000,4,2,3,107.8,18.7,0.9665540107
103296000,4,2,1,110.0,17.6,0.4584659091
103296000,4,1,3,116.6,23.6,0.4376406780
103296000,4,2,3,101.9,16.8,0.7069980952
103296000,4,1,3,111.4,28.5,0.5662456140
103296000,4,2,4,103.5,14.8,0.8178040541
103296000,4,2,4,106.0,21.7,1.2493935484
103296000,4,1,5,105.4,20.6,0.8774058252
103296000,4,1,3,108.7,22.2,0.3634684685
103296000,4,1,3,103.9,17.4,0.6956034483
103296000,4,1,3,103.5,19.0,0.3280684211
103296000,4,2,5,104.2,17.2,0.7036918605
103296000,4,1,1,118.3,26.3,0.6136121673
103296000,4,2,3,111.9,22.7,0.1894703524
103296000,4,1,3,114.4,22.0,0.6799963636
103296000,4,2,3,100.7,15.3,1.1813437908
