product,price,shipping,days,rank
Product 12,180.8,1.1,0,2
Product 12,175.7,1.5,6,3
Product 12,172.5,1.8,3,4
Product 12,175.1,2.3,3,5
Product 12,184.9,2.1,4,6
Product 12,177,3.3,2,7
Product 12,171.3,4,2,8
Product 12,184.9,4.4,6,9
Product 12,182.6,4.6,0,10
Product 13,197.6,0.4,7,1
Product 13,187.9,1.7,6,2
Product 13,188.4,1.8,5,3
Product 13,193.2,1.8,1,4
Product 13,187.8,2.1,7,5
Product 13,197.6,2.3,7,6
Product 13,191.1,2.9,6,7
Product 13,193.7,3.5,0,8
Product 13,195.4,4.8,3,9
Product 13,198.9,4.9,2,10
Product 14,199.8,0.3,3,1
Product 14,199.8,0.3,2,2
Product 14,206.8,0.5,3,3
Product 14,206.9,0.8,2,4
Product 14,209.6,2.1,4,5
Product 14,202.5,2.2,2,6
Product 14,199.1,3.1,1,7
Product 14,210.7,3,4,8
Product 14,204.1,3.3,0,9
Product 14,205,4.5,3,10
Product 15,218.5,0.5,3,1
Product 15,213.4,2.5,5,2
Product 15,215.4,2.4,0,3
Product 15,214.7,2.4,6,4
Product 15,218.4,2.8,1,5
Product 15,217.7,3.4,0,6
Product 15,213.5,4.3,3,7
Product 15,216.8,4.4,3,8
Product 15,216.4,4.2,2,9
Product 15,210.8,5,2,10
Product 16,222.4,0.3,5,1
Product 16,224,0.2,4,2
Product 16,222.4,0.4,1,3
Product 16,225.8,0.8,0,4
Product 16,227.2,1.6,1,5
Product 16,228.3,1.7,3,6
Product 16,219.8,3.4,1,7
Product 16,220.5,3.3,2,8
Product 16,228,3.8,3,9
Product 16,220.3,4.9,6,10
Product 17,234.5,0.3,0,1
Product 17,239.8,0.4,4,2
Product 17,237.4,0.5,6,3
Product 17,232.1,0.9,7,4
Product 17,239.3,1.6,5,5
Product 17,237.4,2.8,7,6
Product 17,229.5,3.2,1,7
Product 17,238.2,3.4,7,8
Product 17,230.1,3.8,1,9
Product 17,239.9,4.2,6,10
Product 18,240.1,0.7,6,1
Product 18,240.1,1.7,5,2
Product 18,253.8,2.1,4,3
Product 18,248.8,2.7,5,4
Product 18,255.4,2.7,6,5
Product 18,248.4,3,5,6
Product 18,241.7,3.8,5,7
Product 18,250.9,3.7,0,8
Product 18,261.3,4.3,2,9
Product 18,243.2,4.9,3,10
Product 19,276.7,0.2,4,1
Product 19,262.9,0.4,4,2
Product 19,265.2,0.3,2,3
Product 19,280.2,1,4,4
Product 19,280.7,1.4,2,5
Product 19,265.6,2,6,6
Product 19,262.7,2.9,4,7
Product 19,273.7,2.9,0,8
Product 19,266.9,4.4,5,9
Product 19,276.9,4.9,2,10
Product 20,290.7,0.4,9,1
Product 20,284.3,1.1,9,2
Product 20,286,1.4,10,3
Product 20,293.6,2.8,10,4
Product 20,292.9,2.8,6,5
Product 20,296.4,3.6,0,6
Product 20,281.4,4,4,7
Product 20,289.7,4.2,5,8
Product 20,283.6,4.2,3,9
Product 20,287.6,4.3,3,10
