term,tree,l1,l2,l3,l4,l5,l6,l7
Metatarsal Bones,A02.835.232.043.300.492,A02,835,232,43,300,492,
Tarsal Bones,A02.835.232.043.300.710,A02,835,232,43,300,710,
Calcaneus,A02.835.232.043.300.710.300,A02,835,232,43,300,710,300
Talus,A02.835.232.043.300.710.780,A02,835,232,43,300,710,780
Toe Phalanges,A02.835.232.043.300.800,A02,835,232,43,300,800,
Leg Bones,A02.835.232.043.650,A02,835,232,43,650,,
Femur,A02.835.232.043.650.247,A02,835,232,43,650,247,
Femur Head,A02.835.232.043.650.247.343,A02,835,232,43,650,247,343
Femur Neck,A02.835.232.043.650.247.510,A02,835,232,43,650,247,510
Fibula,A02.835.232.043.650.321,A02,835,232,43,650,321,
Patella,A02.835.232.043.650.624,A02,835,232,43,650,624,
Tibia,A02.835.232.043.650.883,A02,835,232,43,650,883,
Pelvic Bones,A02.835.232.043.825,A02,835,232,43,825,,
Acetabulum,A02.835.232.043.825.108,A02,835,232,43,825,108,
Ilium,A02.835.232.043.825.434,A02,835,232,43,825,434,
Ischium,A02.835.232.043.825.548,A02,835,232,43,825,548,
Pubic Bone,A02.835.232.043.825.781,A02,835,232,43,825,781,
Bones of Upper Extremity,A02.835.232.087,A02,835,232,87,,,
Arm Bones,A02.835.232.087.090,A02,835,232,87,90,,
Humerus,A02.835.232.087.090.400,A02,835,232,87,90,400,
Humeral Head,A02.835.232.087.090.400.400,A02,835,232,87,90,400,400
Radius,A02.835.232.087.090.700,A02,835,232,87,90,700,
Ulna,A02.835.232.087.090.850,A02,835,232,87,90,850,
Olecranon Process,A02.835.232.087.090.850.600,A02,835,232,87,90,850,600
Clavicle,A02.835.232.087.227,A02,835,232,87,227,,
Hand Bones,A02.835.232.087.319,A02,835,232,87,319,,
Carpal Bones,A02.835.232.087.319.150,A02,835,232,87,319,150,
Capitate Bone,A02.835.232.087.319.150.150,A02,835,232,87,319,150,150
Hamate Bone,A02.835.232.087.319.150.400,A02,835,232,87,319,150,400
Lunate Bone,A02.835.232.087.319.150.500,A02,835,232,87,319,150,500
Pisiform Bone,A02.835.232.087.319.150.600,A02,835,232,87,319,150,600
Scaphoid Bone,A02.835.232.087.319.150.750,A02,835,232,87,319,150,750
Trapezium Bone,A02.835.232.087.319.150.800,A02,835,232,87,319,150,800
Trapezoid Bone,A02.835.232.087.319.150.805,A02,835,232,87,319,150,805
Triquetrum Bone,A02.835.232.087.319.150.831,A02,835,232,87,319,150,831
Finger Phalanges,A02.835.232.087.319.350,A02,835,232,87,319,350,
Metacarpal Bones,A02.835.232.087.319.550,A02,835,232,87,319,550,
Scapula,A02.835.232.087.783,A02,835,232,87,783,,
Acromion,A02.835.232.087.783.261,A02,835,232,87,783,261,
Glenoid Cavity,A02.835.232.087.783.450,A02,835,232,87,783,450,
Diaphyses,A02.835.232.169,A02,835,232,169,,,
Epiphyses,A02.835.232.251,A02,835,232,251,,,
Growth Plate,A02.835.232.251.352,A02,835,232,251,352,,
Hyoid Bone,A02.835.232.409,A02,835,232,409,,,
Sesamoid Bones,A02.835.232.730,A02,835,232,730,,,
Skull,A02.835.232.781,A02,835,232,781,,,
Cranial Fontanelles,A02.835.232.781.175,A02,835,232,781,175,,
Cranial Sutures,A02.835.232.781.200,A02,835,232,781,200,,
Ethmoid Bone,A02.835.232.781.292,A02,835,232,781,292,,
Facial Bones,A02.835.232.781.324,A02,835,232,781,324,,
Jaw,A02.835.232.781.324.502,A02,835,232,781,324,502,
Alveolar Process,A02.835.232.781.324.502.125,A02,835,232,781,324,502,125
Tooth Socket,A02.835.232.781.324.502.125.800,A02,835,232,781,324,502,125
Dental Arch,A02.835.232.781.324.502.320,A02,835,232,781,324,502,320
Mandible,A02.835.232.781.324.502.632,A02,835,232,781,324,502,632
Chin,A02.835.232.781.324.502.632.130,A02,835,232,781,324,502,632
Mandibular Condyle,A02.835.232.781.324.502.632.600,A02,835,232,781,324,502,632
Maxilla,A02.835.232.781.324.502.645,A02,835,232,781,324,502,645
"Palate, Hard",A02.835.232.781.324.502.660,A02,835,232,781,324,502,660
Nasal Bone,A02.835.232.781.324.665,A02,835,232,781,324,665,
Orbit,A02.835.232.781.324.690,A02,835,232,781,324,690,
Turbinates,A02.835.232.781.324.948,A02,835,232,781,324,948,
Vomer,A02.835.232.781.324.971,A02,835,232,781,324,971,
Zygoma,A02.835.232.781.324.995,A02,835,232,781,324,995,
Frontal Bone,A02.835.232.781.375,A02,835,232,781,375,,
Occipital Bone,A02.835.232.781.572,A02,835,232,781,572,,
Foramen Magnum,A02.835.232.781.572.434,A02,835,232,781,572,434,
Parietal Bone,A02.835.232.781.651,A02,835,232,781,651,,
Pterygopalatine Fossa,A02.835.232.781.670,A02,835,232,781,670,,
Skull Base,A02.835.232.781.750,A02,835,232,781,750,,
"Cranial Fossa, Anterior",A02.835.232.781.750.150,A02,835,232,781,750,150,
"Cranial Fossa, Middle",A02.835.232.781.750.165,A02,835,232,781,750,165,
"Cranial Fossa, Posterior",A02.835.232.781.750.400,A02,835,232,781,750,400,
Sphenoid Bone,A02.835.232.781.802,A02,835,232,781,802,,
Sella Turcica,A02.835.232.781.802.662,A02,835,232,781,802,662,
Temporal Bone,A02.835.232.781.885,A02,835,232,781,885,,
Mastoid,A02.835.232.781.885.444,A02,835,232,781,885,444,
Petrous Bone,A02.835.232.781.885.681,A02,835,232,781,885,681,
Spine,A02.835.232.834,A02,835,232,834,,,
Cervical Vertebrae,A02.835.232.834.151,A02,835,232,834,151,,
Axis,A02.835.232.834.151.383,A02,835,232,834,151,383,
Odontoid Process,A02.835.232.834.151.383.668,A02,835,232,834,151,383,668
Cervical Atlas,A02.835.232.834.151.500,A02,835,232,834,151,500,
Coccyx,A02.835.232.834.229,A02,835,232,834,229,,
Intervertebral Disc,A02.835.232.834.432,A02,835,232,834,432,,
Lumbar Vertebrae,A02.835.232.834.519,A02,835,232,834,519,,
Sacrum,A02.835.232.834.717,A02,835,232,834,717,,
Spinal Canal,A02.835.232.834.803,A02,835,232,834,803,,
Epidural Space,A02.835.232.834.803.350,A02,835,232,834,803,350,
Thoracic Vertebrae,A02.835.232.834.892,A02,835,232,834,892,,
Thorax,A02.835.232.904,A02,835,232,904,,,
Ribs,A02.835.232.904.567,A02,835,232,904,567,,
Cervical Rib,A02.835.232.904.567.150,A02,835,232,904,567,150,
Sternum,A02.835.232.904.766,A02,835,232,904,766,,
Manubrium,A02.835.232.904.766.442,A02,835,232,904,766,442,
Xiphoid Bone,A02.835.232.904.766.825,A02,835,232,904,766,825,
Joints,A02.835.583,A02,835,583,,,,
Acromioclavicular Joint,A02.835.583.032,A02,835,583,32,,,
Atlanto-Axial Joint,A02.835.583.097,A02,835,583,97,,,
Atlanto-Occipital Joint,A02.835.583.101,A02,835,583,101,,,
"Bursa, Synovial",A02.835.583.156,A02,835,583,156,,,
"Cartilage, Articular",A02.835.583.192,A02,835,583,192,,,
Elbow Joint,A02.835.583.290,A02,835,583,290,,,
Foot Joints,A02.835.583.378,A02,835,583,378,,,
Ankle Joint,A02.835.583.378.062,A02,835,583,378,62,,
Metatarsophalangeal Joint,A02.835.583.378.531,A02,835,583,378,531,,
Tarsal Joints,A02.835.583.378.831,A02,835,583,378,831,,
Subtalar Joint,A02.835.583.378.831.780,A02,835,583,378,831,780,
Toe Joint,A02.835.583.378.900,A02,835,583,378,900,,
Hand Joints,A02.835.583.405,A02,835,583,405,,,
Carpal Joints,A02.835.583.405.174,A02,835,583,405,174,,
Carpometacarpal Joints,A02.835.583.405.200,A02,835,583,405,200,,
Finger Joint,A02.835.583.405.350,A02,835,583,405,350,,
Metacarpophalangeal Joint,A02.835.583.405.500,A02,835,583,405,500,,
Volar Plate,A02.835.583.405.500.900,A02,835,583,405,500,900,
Wrist Joint,A02.835.583.405.930,A02,835,583,405,930,,
Triangular Fibrocartilage,A02.835.583.405.930.800,A02,835,583,405,930,800,
Hip Joint,A02.835.583.411,A02,835,583,411,,,
Joint Capsule,A02.835.583.443,A02,835,583,443,,,
Synovial Membrane,A02.835.583.443.800,A02,835,583,443,800,,
Synovial Fluid,A02.835.583.443.800.800,A02,835,583,443,800,800,
Knee Joint,A02.835.583.475,A02,835,583,475,,,
"Menisci, Tibial",A02.835.583.475.590,A02,835,583,475,590,,
Patellofemoral Joint,A02.835.583.475.650,A02,835,583,475,650,,
"Ligaments, Articular",A02.835.583.512,A02,835,583,512,,,
Anterior Cruciate Ligament,A02.835.583.512.100,A02,835,583,512,100,,
Collateral Ligaments,A02.835.583.512.162,A02,835,583,512,162,,
"Lateral Ligament, Ankle",A02.835.583.512.162.500,A02,835,583,512,162,500,
"Medial Collateral Ligament, Knee",A02.835.583.512.162.600,A02,835,583,512,162,600,
Ligamentum Flavum,A02.835.583.512.287,A02,835,583,512,287,,
Longitudinal Ligaments,A02.835.583.512.350,A02,835,583,512,350,,
Patellar Ligament,A02.835.583.512.475,A02,835,583,512,475,,
Posterior Cruciate Ligament,A02.835.583.512.600,A02,835,583,512,600,,
Volar Plate,A02.835.583.512.900,A02,835,583,512,900,,
Pubic Symphysis,A02.835.583.656,A02,835,583,656,,,
Sacroiliac Joint,A02.835.583.707,A02,835,583,707,,,
Shoulder Joint,A02.835.583.748,A02,835,583,748,,,
Sternoclavicular Joint,A02.835.583.781,A02,835,583,781,,,
Sternocostal Joints,A02.835.583.790,A02,835,583,790,,,
Temporomandibular Joint,A02.835.583.861,A02,835,583,861,,,
Temporomandibular Joint Disc,A02.835.583.861.900,A02,835,583,861,900,,
Zygapophyseal Joint,A02.835.583.979,A02,835,583,979,,,
Tendons,A02.880,A02,880,,,,,
Achilles Tendon,A02.880.176,A02,880,176,,,,
Patellar Ligament,A02.880.438,A02,880,438,,,,
Rotator Cuff,A02.880.700,A02,880,700,,,,
Digestive System,A03,A03,,,,,,
Biliary Tract,A03.159,A03,159,,,,,
Bile Ducts,A03.159.183,A03,159,183,,,,
"Bile Ducts, Extrahepatic",A03.159.183.079,A03,159,183,79,,,
Common Bile Duct,A03.159.183.079.300,A03,159,183,79,300,,
Ampulla of Vater,A03.159.183.079.300.950,A03,159,183,79,300,950,
Sphincter of Oddi,A03.159.183.079.300.950.600,A03,159,183,79,300,950,600
Cystic Duct,A03.159.183.079.450,A03,159,183,79,450,,
"Hepatic Duct, Common",A03.159.183.079.600,A03,159,183,79,600,,
"Bile Ducts, Intrahepatic",A03.159.183.158,A03,159,183,158,,,
Bile Canaliculi,A03.159.183.158.125,A03,159,183,158,125,,
Gallbladder,A03.159.439,A03,159,439,,,,
Gastrointestinal Tract,A03.556,A03,556,,,,,
Intestines,A03.556.124,A03,556,124,,,,
Intestinal Mucosa,A03.556.124.369,A03,556,124,369,,,
Enterocytes,A03.556.124.369.290,A03,556,124,369,290,,
Goblet Cells,A03.556.124.369.320,A03,556,124,369,320,,
Paneth Cells,A03.556.124.369.700,A03,556,124,369,700,,
"Intestine, Large",A03.556.124.526,A03,556,124,526,,,
Anal Canal,A03.556.124.526.070,A03,556,124,526,70,,
Cecum,A03.556.124.526.209,A03,556,124,526,209,,
Appendix,A03.556.124.526.209.290,A03,556,124,526,209,290,
Colon,A03.556.124.526.356,A03,556,124,526,356,,
"Colon, Ascending",A03.556.124.526.356.333,A03,556,124,526,356,333,
"Colon, Descending",A03.556.124.526.356.500,A03,556,124,526,356,500,
"Colon, Sigmoid",A03.556.124.526.356.668,A03,556,124,526,356,668,
"Colon, Transverse",A03.556.124.526.356.834,A03,556,124,526,356,834,
Rectum,A03.556.124.526.767,A03,556,124,526,767,,
"Intestine, Small",A03.556.124.684,A03,556,124,684,,,
Duodenum,A03.556.124.684.124,A03,556,124,684,124,,
Ampulla of Vater,A03.556.124.684.124.236,A03,556,124,684,124,236,
Sphincter of Oddi,A03.556.124.684.124.236.572,A03,556,124,684,124,236,572
Brunner Glands,A03.556.124.684.124.322,A03,556,124,684,124,322,
Ileum,A03.556.124.684.249,A03,556,124,684,249,,
Ileocecal Valve,A03.556.124.684.249.400,A03,556,124,684,249,400,
Meckel Diverticulum,A03.556.124.684.249.612,A03,556,124,684,249,612,
Jejunum,A03.556.124.684.500,A03,556,124,684,500,,
Lower Gastrointestinal Tract,A03.556.249,A03,556,249,,,,
Ileum,A03.556.249.124,A03,556,249,124,,,
Ileocecal Valve,A03.556.249.124.400,A03,556,249,124,400,,
Meckel Diverticulum,A03.556.249.124.612,A03,556,249,124,612,,
"Intestine, Large",A03.556.249.249,A03,556,249,249,,,
Anal Canal,A03.556.249.249.070,A03,556,249,249,70,,
Cecum,A03.556.249.249.209,A03,556,249,249,209,,
Appendix,A03.556.249.249.209.290,A03,556,249,249,209,290,
Colon,A03.556.249.249.356,A03,556,249,249,356,,
"Colon, Ascending",A03.556.249.249.356.333,A03,556,249,249,356,333,
"Colon, Descending",A03.556.249.249.356.500,A03,556,249,249,356,500,
"Colon, Sigmoid",A03.556.249.249.356.668,A03,556,249,249,356,668,
"Colon, Transverse",A03.556.249.249.356.834,A03,556,249,249,356,834,
Rectum,A03.556.249.249.767,A03,556,249,249,767,,
Jejunum,A03.556.249.750,A03,556,249,750,,,
Mouth,A03.556.500,A03,556,500,,,,
Dentition,A03.556.500.379,A03,556,500,379,,,
Salivary Glands,A03.556.500.760,A03,556,500,760,,,
Parotid Gland,A03.556.500.760.464,A03,556,500,760,464,,
Salivary Ducts,A03.556.500.760.640,A03,556,500,760,640,,
"Salivary Glands, Minor",A03.556.500.760.650,A03,556,500,760,650,,
Sublingual Gland,A03.556.500.760.687,A03,556,500,760,687,,
Submandibular Gland,A03.556.500.760.812,A03,556,500,760,812,,
von Ebner Glands,A03.556.500.760.906,A03,556,500,760,906,,
Tongue,A03.556.500.885,A03,556,500,885,,,
Lingual Frenum,A03.556.500.885.431,A03,556,500,885,431,,
Taste Buds,A03.556.500.885.779,A03,556,500,885,779,,
Pharynx,A03.556.750,A03,556,750,,,,
Upper Gastrointestinal Tract,A03.556.875,A03,556,875,,,,
Duodenum,A03.556.875.249,A03,556,875,249,,,
Ampulla of Vater,A03.556.875.249.160,A03,556,875,249,160,,
Sphincter of Oddi,A03.556.875.249.160.572,A03,556,875,249,160,572,
Brunner Glands,A03.556.875.249.322,A03,556,875,249,322,,
Esophagus,A03.556.875.500,A03,556,875,500,,,
"Esophageal Sphincter, Upper",A03.556.875.500.360,A03,556,875,500,360,,
Esophagogastric Junction,A03.556.875.500.414,A03,556,875,500,414,,
"Esophageal Sphincter, Lower",A03.556.875.500.414.350,A03,556,875,500,414,350,
Stomach,A03.556.875.875,A03,556,875,875,,,
Cardia,A03.556.875.875.163,A03,556,875,875,163,,
Esophagogastric Junction,A03.556.875.875.330,A03,556,875,875,330,,
"Esophageal Sphincter, Lower",A03.556.875.875.330.350,A03,556,875,875,330,350,
Gastric Fundus,A03.556.875.875.419,A03,556,875,875,419,,
Gastric Mucosa,A03.556.875.875.440,A03,556,875,875,440,,
"Chief Cells, Gastric",A03.556.875.875.440.150,A03,556,875,875,440,150,
Enterochromaffin Cells,A03.556.875.875.440.250,A03,556,875,875,440,250,
Gastrin-Secreting Cells,A03.556.875.875.440.300,A03,556,875,875,440,300,
"Parietal Cells, Gastric",A03.556.875.875.440.708,A03,556,875,875,440,708,
Somatostatin-Secreting Cells,A03.556.875.875.440.854,A03,556,875,875,440,854,
Gastric Stump,A03.556.875.875.578,A03,556,875,875,578,,
Pyloric Antrum,A03.556.875.875.716,A03,556,875,875,716,,
Pylorus,A03.556.875.875.799,A03,556,875,875,799,,
Liver,A03.620,A03,620,,,,,
"Bile Ducts, Intrahepatic",A03.620.150,A03,620,150,,,,
Bile Canaliculi,A03.620.150.125,A03,620,150,125,,,
Pancreas,A03.734,A03,734,,,,,
Islets of Langerhans,A03.734.414,A03,734,414,,,,
Glucagon-Secreting Cells,A03.734.414.065,A03,734,414,65,,,
Insulin-Secreting Cells,A03.734.414.131,A03,734,414,131,,,
Pancreatic Polypeptide-Secreting Cells,A03.734.414.587,A03,734,414,587,,,
Somatostatin-Secreting Cells,A03.734.414.793,A03,734,414,793,,,
"Pancreas, Exocrine",A03.734.540,A03,734,540,,,,
Pancreatic Ducts,A03.734.667,A03,734,667,,,,
Respiratory System,A04,A04,,,,,,
Larynx,A04.329,A04,329,,,,,
Glottis,A04.329.364,A04,329,364,,,,
Vocal Cords,A04.329.364.737,A04,329,364,737,,,
Laryngeal Cartilages,A04.329.591,A04,329,591,,,,
Arytenoid Cartilage,A04.329.591.085,A04,329,591,85,,,
Cricoid Cartilage,A04.329.591.211,A04,329,591,211,,,
Epiglottis,A04.329.591.411,A04,329,591,411,,,
Thyroid Cartilage,A04.329.591.870,A04,329,591,870,,,
Laryngeal Mucosa,A04.329.597,A04,329,597,,,,
Goblet Cells,A04.329.597.320,A04,329,597,320,,,
Laryngeal Muscles,A04.329.604,A04,329,604,,,,
Lung,A04.411,A04,411,,,,,
Bronchi,A04.411.125,A04,411,125,,,,
Bronchioles,A04.411.125.500,A04,411,125,500,,,
Pulmonary Alveoli,A04.411.715,A04,411,715,,,,
Blood-Air Barrier,A04.411.715.025,A04,411,715,25,,,
Pneumocytes,A04.411.715.512,A04,411,715,512,,,
Nose,A04.531,A04,531,,,,,
Nasal Bone,A04.531.378,A04,531,378,,,,
Nasal Cartilages,A04.531.413,A04,531,413,,,,
Nasal Cavity,A04.531.449,A04,531,449,,,,
Nasal Mucosa,A04.531.520,A04,531,520,,,,
Goblet Cells,A04.531.520.320,A04,531,520,320,,,
Olfactory Mucosa,A04.531.520.573,A04,531,520,573,,,
Olfactory Receptor Neurons,A04.531.520.573.580,A04,531,520,573,580,,
Nasal Septum,A04.531.591,A04,531,591,,,,
Vomer,A04.531.591.469,A04,531,591,469,,,
Paranasal Sinuses,A04.531.621,A04,531,621,,,,
Ethmoid Sinus,A04.531.621.267,A04,531,621,267,,,
Frontal Sinus,A04.531.621.387,A04,531,621,387,,,
Maxillary Sinus,A04.531.621.578,A04,531,621,578,,,
