SOURCE,TARGET,WEIGHT
Sick Sinus Syndrome,Tachycardia_ Ventricular,0.973254162629866
Sick Sinus Syndrome,Ventricular Fibrillation,0.866257501729449
Sick Sinus Syndrome,Brugada Syndrome,0.926216782391394
Sick Sinus Syndrome,Bundle-Branch Block,0.897958682460322
Lymphoma_ B-Cell,Lymphoma_ Large B-Cell_ Diffuse,0.810507310899419
Chromosome Disorders,Smith-Lemli-Opitz Syndrome,0.878149368790686
Chromosome Disorders,Blepharophimosis,0.890620260087377
Chromosome Disorders,Silver-Russell Syndrome,0.81444147009602
Chromosome Disorders,Nails_ Malformed,0.806373522361133
Chromosome Disorders,Macrocephaly,0.865173828243655
Chromosome Disorders,Craniofacial Dysostosis,0.898374144930069
Chromosome Disorders,Rubinstein-Taybi Syndrome,0.814916693500025
Chromosome Disorders,Orofaciodigital Syndromes,0.8289051044758
Chromosome Disorders,Amino Acid Metabolism_ Inborn Errors,0.942560587720844
Chromosome Disorders,Fibromatosis_ Gingival,0.898142327058068
Chromosome Disorders,Hallermann's Syndrome,0.855382434462694
Chromosome Disorders,Hypertelorism,0.841913465109196
Chromosome Disorders,Chromosome Aberrations,0.966803586245654
Chromosome Disorders,Syndactyly,0.88496847556422
Chromosome Disorders,Craniosynostoses,0.904449459161495
Chromosome Disorders,Polydactyly,0.910173889759454
Chromosome Disorders,Xeroderma Pigmentosum,0.898716265377466
Chromosome Disorders,Hand Deformities_ Congenital,0.857796356382544
Chromosome Disorders,Stereotypic Movement Disorder,0.815404833253641
Chromosome Disorders,Anophthalmos,0.861051583542224
Chromosome Disorders,Chromosome Breakage,0.920471941630107
Chromosome Disorders,Cri-du-Chat Syndrome,0.874652609163772
Chromosome Disorders,Exostoses_ Multiple Hereditary,0.858416624687634
Chromosome Disorders,Sebaceous Gland Neoplasms,0.850913323356899
Chromosome Disorders,Wolf-Hirschhorn Syndrome,0.901952181292725
Asthma,Pallister-Hall Syndrome,0.822611143053769
Asthma,Asbestosis,0.851873328326828
Asthma,Bronchial Hyperreactivity,0.934145098311397
Asthma,Respiratory Hypersensitivity,0.822966716486528
Asthma,Hypersensitivity_ Immediate,0.847723035555776
Craniofacial Dysostosis,Smith-Lemli-Opitz Syndrome,0.813079468640681
Craniofacial Dysostosis,Nails_ Malformed,0.856320909388373
Craniofacial Dysostosis,Orofaciodigital Syndromes,0.905370874757161
Craniofacial Dysostosis,Fibromatosis_ Gingival,0.900610002668425
Craniofacial Dysostosis,Hypertelorism,0.907174285925626
Craniofacial Dysostosis,Syndactyly,0.903609435001533
Craniofacial Dysostosis,Craniosynostoses,0.884326070278146
Craniofacial Dysostosis,Polydactyly,0.831692931370712
Craniofacial Dysostosis,Hand Deformities_ Congenital,0.912121823306271
Craniofacial Dysostosis,Chromosome Breakage,0.895601401714854
Craniofacial Dysostosis,Foot Deformities_ Congenital,0.838921936864872
Colitis_ Ulcerative,Crohn Disease,0.887838939697729
Exocrine Pancreatic Insufficiency,Celiac Disease,0.856153711577793
Premature Birth,Hernia_ Umbilical,0.833260244240291
Microcephaly,Nails_ Malformed,0.839975749477841
Microcephaly,Tooth Abnormalities,0.844628009420819
Microcephaly,Macrocephaly,0.89211849029444
Microcephaly,Chromosome Disorders,0.965221321717278
Microcephaly,Craniofacial Dysostosis,0.925010623044935
Microcephaly,Rubinstein-Taybi Syndrome,0.834280251301741
Microcephaly,Dwarfism,0.940784826349952
Microcephaly,Orofaciodigital Syndromes,0.863707677701824
Microcephaly,Abnormalities_ Multiple,0.978852628735632
Microcephaly,Amino Acid Metabolism_ Inborn Errors,0.967065740190262
Microcephaly,Mental Retardation,0.983095799801601
Microcephaly,Fibromatosis_ Gingival,0.937276451651618
Microcephaly,Piebaldism,0.846214356966355
Microcephaly,Phenylketonurias,0.974756756562095
Microcephaly,De Lange Syndrome,0.883005939868657
Microcephaly,Klinefelter Syndrome,0.905273755656815
Microcephaly,Tuberous Sclerosis,0.817486618226345
Microcephaly,Hallermann's Syndrome,0.902019000991748
Microcephaly,Down Syndrome,0.848081896004163
Microcephaly,Hypertelorism,0.85114792827536
Microcephaly,Skin Abnormalities,0.904462388758086
Microcephaly,Metabolism_ Inborn Errors,0.914368522497706
Microcephaly,Mucopolysaccharidosis IV,0.849707053133472
Microcephaly,Chromosome Aberrations,0.993475487398296
Microcephaly,Syndactyly,0.907775719780346
Microcephaly,Craniosynostoses,0.900288906757033
Microcephaly,Carbohydrate Metabolism_ Inborn Errors,0.801900196057096
Microcephaly,Polydactyly,0.889254103102248
Microcephaly,Xeroderma Pigmentosum,0.926551830099707
Microcephaly,Hand Deformities_ Congenital,0.872956318944443
Microcephaly,Congenital Hypothyroidism,0.806525211401078
Microcephaly,Stereotypic Movement Disorder,0.830957135613991
Microcephaly,Homocystinuria,0.825348247904097
Microcephaly,Ectodermal Dysplasia,0.82729228600398
Microcephaly,Chromosome Breakage,0.961531123388668
Microcephaly,Cri-du-Chat Syndrome,0.857707144966986
Microcephaly,Exostoses_ Multiple Hereditary,0.875325380288028
Microcephaly,Sebaceous Gland Neoplasms,0.889658527788161
Microcephaly,Pain Insensitivity_ Congenital,0.81867536264524
Microcephaly,Wolf-Hirschhorn Syndrome,0.904738968542926
Microcephaly,Maple Syrup Urine Disease,0.879135778049128
Brain Injuries,Craniocerebral Trauma,0.824210004721922
Fibrous Dysplasia_ Polyostotic,Cafe-au-Lait Spots,0.978085286630987
Fibrous Dysplasia_ Polyostotic,Colorectal Neoplasms_ Hereditary Nonpolyposis,0.97154912135875
HIV Infections,Acquired Immunodeficiency Syndrome,0.883854503973627
HIV Infections,HIV Seropositivity,0.836683885812688
HIV Infections,Graft vs Host Disease,0.835854720166773
Kidney Failure_ Chronic,Nephrotic Syndrome,0.86749085996647
Kidney Failure_ Chronic,Proteinuria,0.861198485337473
Kidney Failure_ Chronic,Glomerulosclerosis_ Focal Segmental,0.87443782306767
Kidney Failure_ Chronic,Renal Insufficiency,0.895418187039066
Glioma,Glioblastoma,0.834057748677808
Glioma,Brain Neoplasms,0.813162375654146
Fanconi Syndrome,Nephrotic Syndrome,0.895261312782576
Fanconi Syndrome,Glomerulosclerosis_ Focal Segmental,0.900076573327327
Rubinstein-Taybi Syndrome,Xeroderma Pigmentosum,0.813548711356738
Rubinstein-Taybi Syndrome,Chromosome Breakage,0.819144044581596
Rubinstein-Taybi Syndrome,Cri-du-Chat Syndrome,0.805175705257625
Night Blindness,Leber Congenital Amaurosis,0.861592312710558
Night Blindness,Color Vision Defects,0.816022211840985
Pulmonary Disease_ Chronic Obstructive,Lung Diseases_ Obstructive,0.814913896405001
Pulmonary Disease_ Chronic Obstructive,Lung Diseases_ Interstitial,0.856004648384489
Pulmonary Disease_ Chronic Obstructive,Pulmonary Emphysema,0.911327173334694
Pulmonary Disease_ Chronic Obstructive,Pulmonary Alveolar Proteinosis,0.860354399164201
Pulmonary Disease_ Chronic Obstructive,Pulmonary Fibrosis,0.879701433097231
Pulmonary Disease_ Chronic Obstructive,Idiopathic Pulmonary Fibrosis,0.889264506834939
Pulmonary Disease_ Chronic Obstructive,Emphysema,0.890690010681808
Dwarfism,Nails_ Malformed,0.826347957819687
Dwarfism,Tooth Abnormalities,0.835338354500304
Dwarfism,Macrocephaly,0.853549300475968
Dwarfism,Chromosome Disorders,0.909305823168359
Dwarfism,Craniofacial Dysostosis,0.923030290110087
Dwarfism,Orofaciodigital Syndromes,0.834105008728828
Dwarfism,Amino Acid Metabolism_ Inborn Errors,0.904532657574774
Dwarfism,Fibromatosis_ Gingival,0.885747361867822
Dwarfism,Phenylketonurias,0.960984476216908
Dwarfism,Klinefelter Syndrome,0.888596733895394
Dwarfism,Hypertelorism,0.835979849568177
Dwarfism,Congenital Abnormalities,0.800599470197306
Dwarfism,Chromosome Aberrations,0.938676919326898
Dwarfism,Syndactyly,0.861736483394103
Dwarfism,Craniosynostoses,0.863194570895089
Dwarfism,Polydactyly,0.85814383164089
Dwarfism,Xeroderma Pigmentosum,0.890626936588959
Dwarfism,Hand Deformities_ Congenital,0.852296153531234
Dwarfism,Congenital Hypothyroidism,0.867207819140088
Dwarfism,Ectodermal Dysplasia,0.814742441674887
Dwarfism,Chromosome Breakage,0.908098112515805
Dwarfism,Cri-du-Chat Syndrome,0.822761369863781
Dwarfism,Exostoses_ Multiple Hereditary,0.839405375404694
Dwarfism,Cryptorchidism,0.821353523058396
Dwarfism,Wolf-Hirschhorn Syndrome,0.821065221352385
Incontinentia Pigmenti,Classical Lissencephalies and Subcortical Band Heterotopias,0.957708046940405
Learning Disorders,Attention Deficit Disorder with Hyperactivity,0.823120345292038
Long QT Syndrome,Arrhythmogenic Right Ventricular Dysplasia,0.962687350315681
Long QT Syndrome,Torsades de Pointes,0.948457394140491
Long QT Syndrome,Coffin-Lowry Syndrome,0.845240998412796
Long QT Syndrome,Romano-Ward Syndrome,0.854134071322518
Long QT Syndrome,Death_ Sudden_ Cardiac,0.911537797791103
Long QT Syndrome,Tachycardia_ Ventricular,0.974925966921333
Long QT Syndrome,Ventricular Fibrillation,0.869009403671324
Long QT Syndrome,Atrioventricular Block,0.956243006496755
Stomach Neoplasms,Stomach Ulcer,0.847311307566492
Stomach Neoplasms,Duodenal Ulcer,0.820097384177535
Stomach Neoplasms,Stomach Diseases,0.87920853718957
Cardiomyopathies,Heart Diseases,0.853721047075283
Cerebellar Diseases,Spinocerebellar Degenerations,0.835998093207878
Psychotic Disorders,Psychoses_ Substance-Induced,0.919283535215139
Psychotic Disorders,Schizophrenia,0.920766254315933
Psychotic Disorders,Lewy Body Disease,0.87595239737499
Gilbert Disease,Crigler-Najjar Syndrome,0.929786283294044
Orofaciodigital Syndromes,Blepharophimosis,0.822890332400281
Liver Cirrhosis,Liver Diseases,0.824041568809268
Dermatitis_ Seborrheic,Alopecia,0.859897794292017
Torsades de Pointes,Arrhythmogenic Right Ventricular Dysplasia,0.935132790817786
Torsades de Pointes,Coffin-Lowry Syndrome,0.805716686864805
Torsades de Pointes,Death_ Sudden_ Cardiac,0.91805158148539
Torsades de Pointes,Ventricular Fibrillation,0.886233636218347
Hypokalemic Periodic Paralysis,Myotonic Disorders,0.835832368783832
Adrenocortical Carcinoma,46_ XY Disorders of Sex Development,0.862558336120389
Adrenocortical Carcinoma,46_ XX Disorders of Sex Development,0.862558336120389
Adrenocortical Carcinoma,Antley-Bixler Syndrome Phenotype,0.862558336120389
Adrenocortical Carcinoma,Gonadal Dysgenesis_ 46_XX,0.821427511227316
Carcinoma_ Hepatocellular,Liver Neoplasms,0.926236898105948
Neoplasms_ Experimental,Liver Neoplasms_ Experimental,0.907540149511316
Epilepsy_ Absence,Epilepsies_ Myoclonic,0.871004781481935
Tetralogy of Fallot,Transposition of Great Vessels,0.972359737580367
Obesity,Metabolic Diseases,0.941821919774691
Obesity,Glucose Intolerance,0.939291905585439
Obesity,Hyperlipoproteinemias,0.923090327686424
Obesity,Endometrial Hyperplasia,0.928948579831566
Obesity,Gout,0.87408236055627
Obesity,Endometrial Neoplasms,0.943922375127863
Obesity,Diabetes Mellitus,0.963128214338069
Obesity,Lipid Metabolism Disorders,0.89396769443951
Obesity,Hyperinsulinism,0.979443124861956
Obesity,Bardet-Biedl Syndrome,0.928761913090419
Obesity,Hyperlipidemia_ Familial Combined,0.987496986640562
Obesity,Hypoalphalipoproteinemias,0.988107325285951
Obesity,Dyslipidemias,0.945104976021805
Intestinal Neoplasms,Intestinal Polyps,0.825960933495593
Intestinal Neoplasms,Gastrinoma,0.848222367576363
Intestinal Neoplasms,Crohn Disease,0.823269183356491
Nephrotic Syndrome,Nephrosis,0.985883839830692
Nephrotic Syndrome,Denys-Drash Syndrome,0.955773304309557
Nephrotic Syndrome,Lecithin Acyltransferase Deficiency,0.992434743632494
Nephrotic Syndrome,Immune Complex Diseases,0.918671020356894
Nephrotic Syndrome,Oculocerebrorenal Syndrome,0.8687769908441
Nephrotic Syndrome,Anemia_ Macrocytic,0.83610494007787
Metabolic Diseases,Glucose Intolerance,0.925190173409053
Metabolic Diseases,Hyperlipoproteinemias,0.898854077447392
Metabolic Diseases,Diabetes Mellitus,0.933381656653486
Metabolic Diseases,Lipid Metabolism Disorders,0.872181690848482
Metabolic Diseases,Bardet-Biedl Syndrome,0.911989433871862
Metabolic Diseases,Hyperlipidemia_ Familial Combined,0.932871133854651
Metabolic Diseases,Hypoalphalipoproteinemias,0.926100938993684
Metabolic Diseases,Dyslipidemias,0.912953053629685
Supranuclear Palsy_ Progressive,Striatonigral Degeneration,0.967389332606667
Gram-Negative Bacterial Infections,AIDS-Related Opportunistic Infections,0.91895278163381
Gram-Negative Bacterial Infections,Celiac Disease,0.876897997624711
Hypercholesterolemia,Glucose Intolerance,0.81935818903776
Hypercholesterolemia,Hyperlipoproteinemias,0.85448701484528
Hypercholesterolemia,Diabetes Mellitus,0.837473238048955
Hypercholesterolemia,Dyslipidemias,0.812241828566109
Essential Tremor,Tremor,0.895442030911664
Keloid,Candidiasis_ Vulvovaginal,0.880891488553487
Keloid,Keratosis,0.804278615399116
Myositis Ossificans,Oral Submucous Fibrosis,0.870320836892539
Myositis Ossificans,Ankylosis,0.844912158540369
Citrullinemia,Carbamoyl-Phosphate Synthase I Deficiency Disease,0.947026633853304
Photosensitivity Disorders,Keratosis,0.800244947348519
Fibromatosis_ Abdominal,Hereditary Angioedema Type III,0.883577180026174
Abnormalities_ Multiple,Coloboma,0.850731901911659
Abnormalities_ Multiple,Smith-Lemli-Opitz Syndrome,0.870029407630367
Abnormalities_ Multiple,Nails_ Malformed,0.872301081357421
Abnormalities_ Multiple,Tooth Abnormalities,0.890831193078827
Abnormalities_ Multiple,Macrocephaly,0.884429723837367
Abnormalities_ Multiple,Chromosome Disorders,0.963684438194422
Abnormalities_ Multiple,Craniofacial Dysostosis,0.958651842456666
Abnormalities_ Multiple,Rubinstein-Taybi Syndrome,0.828028395370496
Abnormalities_ Multiple,Dwarfism,0.940948859134522
Abnormalities_ Multiple,Orofaciodigital Syndromes,0.900247121133338
Abnormalities_ Multiple,Amino Acid Metabolism_ Inborn Errors,0.945315682999262
Abnormalities_ Multiple,Fibromatosis_ Gingival,0.944149169658993
Abnormalities_ Multiple,Piebaldism,0.844620613402606
Abnormalities_ Multiple,Phenylketonurias,0.946845282980198
Abnormalities_ Multiple,Klinefelter Syndrome,0.903543282306119
Abnormalities_ Multiple,Fragile X Syndrome,0.884108127208715
Abnormalities_ Multiple,Hypertelorism,0.906116526961371
Abnormalities_ Multiple,Skin Abnormalities,0.894068661346886
Abnormalities_ Multiple,Metabolism_ Inborn Errors,0.910495175240096
Abnormalities_ Multiple,Chromosome Aberrations,0.987045474371447
Abnormalities_ Multiple,Syndactyly,0.922725385358976
Abnormalities_ Multiple,Craniosynostoses,0.91101970447499
Abnormalities_ Multiple,Carbohydrate Metabolism_ Inborn Errors,0.800037430571188
Abnormalities_ Multiple,Polydactyly,0.901874712699544
Abnormalities_ Multiple,Xeroderma Pigmentosum,0.939818415021523
Abnormalities_ Multiple,Hand Deformities_ Congenital,0.921071518165322
Abnormalities_ Multiple,Congenital Hypothyroidism,0.861029317626097
Abnormalities_ Multiple,Stereotypic Movement Disorder,0.814544119024307
Abnormalities_ Multiple,Ectodermal Dysplasia,0.858448433738015
Abnormalities_ Multiple,Chromosome Breakage,0.955496678028267
Abnormalities_ Multiple,Cri-du-Chat Syndrome,0.862530855491931
Abnormalities_ Multiple,Exostoses_ Multiple Hereditary,0.87676913293049
Abnormalities_ Multiple,Sebaceous Gland Neoplasms,0.855438464678695
Abnormalities_ Multiple,Pain Insensitivity_ Congenital,0.811357592702091
Abnormalities_ Multiple,Wolf-Hirschhorn Syndrome,0.898583408343059
Abnormalities_ Multiple,Foot Deformities_ Congenital,0.831197157804171
Abnormalities_ Multiple,Genetic Diseases_ Inborn,0.861832181282363
Abnormalities_ Multiple,Maple Syrup Urine Disease,0.855798051884415
Amino Acid Metabolism_ Inborn Errors,Nails_ Malformed,0.817836722583766
Amino Acid Metabolism_ Inborn Errors,Macrocephaly,0.847506160058052
Amino Acid Metabolism_ Inborn Errors,Rubinstein-Taybi Syndrome,0.813234071491529
Amino Acid Metabolism_ Inborn Errors,Orofaciodigital Syndromes,0.845940554304339
Amino Acid Metabolism_ Inborn Errors,Fibromatosis_ Gingival,0.927863862885981
Amino Acid Metabolism_ Inborn Errors,Hypertelorism,0.821261118445102
Amino Acid Metabolism_ Inborn Errors,Syndactyly,0.871829624343242
Amino Acid Metabolism_ Inborn Errors,Craniosynostoses,0.873051811277362
Amino Acid Metabolism_ Inborn Errors,Polydactyly,0.862173111537725
Amino Acid Metabolism_ Inborn Errors,Xeroderma Pigmentosum,0.92108600474372
Amino Acid Metabolism_ Inborn Errors,Hand Deformities_ Congenital,0.837731561022829
Amino Acid Metabolism_ Inborn Errors,Chromosome Breakage,0.922850149453516
Amino Acid Metabolism_ Inborn Errors,Cri-du-Chat Syndrome,0.839858362952324
Amino Acid Metabolism_ Inborn Errors,Exostoses_ Multiple Hereditary,0.853996952669812
Amino Acid Metabolism_ Inborn Errors,Maple Syrup Urine Disease,0.907119572203699
Paralyses_ Familial Periodic,Paralysis_ Hyperkalemic Periodic,0.949702896789603
Anemia_ Dyserythropoietic_ Congenital,Anemia_ Diamond-Blackfan,0.90362920653059
Pituitary ACTH Hypersecretion,Acanthosis Nigricans,0.8143795937281
Lung Diseases_ Interstitial,Pulmonary Alveolar Proteinosis,0.92237643748242
Lung Diseases_ Interstitial,Pulmonary Fibrosis,0.932657251577745
Lung Diseases_ Interstitial,Idiopathic Pulmonary Fibrosis,0.938887158845426
Myotonia Congenita,Myotonic Dystrophy,0.82460640005568
Osteoarthritis,Osteoarthritis_ Hip,0.938527810468401
Osteoarthritis,Osteoarthritis_ Knee,0.924619115410044
Neurofibromatoses,Cafe-au-Lait Spots,0.977045014337759
Neurofibromatoses,Fibrous Dysplasia_ Polyostotic,0.966538830032234
Neurofibromatoses,Neurofibromatosis 1,0.913220537349257
Mental Retardation,Smith-Lemli-Opitz Syndrome,0.829603248413609
Mental Retardation,Blepharophimosis,0.920449621075396
Mental Retardation,Nails_ Malformed,0.846442239111431
Mental Retardation,Tooth Abnormalities,0.835582182564778
Mental Retardation,Macrocephaly,0.87291305612594
Mental Retardation,Chromosome Disorders,0.94649293070827
Mental Retardation,Craniofacial Dysostosis,0.908061768342388
Mental Retardation,Rubinstein-Taybi Syndrome,0.840843972658869
Mental Retardation,Dwarfism,0.92210217393949
Mental Retardation,Orofaciodigital Syndromes,0.8639164654489
Mental Retardation,Abnormalities_ Multiple,0.969765259393293
