id,hpo
"NEARLY COMPLETE ABSENCE OF METABOLICALLY ACTIVE ADIPOSE TISSUE (SUBCUTANEOUS, INTRAABDOMINAL, INTRATHORACIC)",Tissue
ABNORMAL REGULATION OF FAT TISSUE METABOLISM,Tissue
GENERALIZED TONIC-CLONIC SEIZURES (OFTEN DEVELOP IN ADOLESCENCE),Age Group
CORTICAL IRREGULARITY (HUMERAL),"Body Part, Organ, or Organ Component"
CORTICAL THICKENING (HUMERAL),"Body Part, Organ, or Organ Component"
"PHEOCHROMOCYTOMA, ADRENAL","Body Part, Organ, or Organ Component"
CONGENITAL ADRENAL HYPERPLASIA,Congenital Abnormality
MULTIPLE SMALL MEDULLARY RENAL CYSTS,"Body Part, Organ, or Organ Component"
ADRENAL MEDULLARY HYPOPLASIA,"Body Part, Organ, or Organ Component"
AGED LEONINE APPEARANCE,Organism Attribute
MENTAL RETARDATION BY THE AGE OF 7 YEARS,Organism Attribute
PROGEROID FACIAL APPEARANCE,Organism Attribute
"ABNORMAL AGGRESSIVE, IMPULSIVE OR VIOLENT BEHAVIOR",Mental or Behavioral Dysfunction
ELEVATED ALKALINE PHOSPHATASE,Enzyme
"ALOPECIA, COMPLETE, IN MAJORITY OF PATIENTS",Finding
INCREASED CSF INTERFERON ALPHA,Pharmacologic Substance
ELEVATED ALPHA-FETOPROTEIN,Biologically Active Substance
HYPERSENSITIVITY PNEUMONITIS,Disease or Syndrome
AMBLYOPIA,Disease or Syndrome
AMELIA INVOLVING THE LOWER LIMBS,Congenital Abnormality
"AMELOGENESIS IMPERFECTA, HYPOMATURATION-HYPOPLASIA TYPE",Congenital Abnormality
"AMELOGENESIS IMPERFECTA, HYPOCALCIFIED TYPE",Congenital Abnormality
ELEVATED PLASMA BRANCHED CHAIN AMINO ACIDS,Biologically Active Substance
ANEMIA,Disease or Syndrome
COMPENSATED HEMOLYTIC ANEMIA,Disease or Syndrome
"MEGALOBLASTIC ANEMIA, CHRONIC, RELAPSING",Disease or Syndrome
REFRACTORY MACROCYTIC ANEMIA,Disease or Syndrome
REFRACTORY SIDEROBLASTIC ANEMIA,Disease or Syndrome
MALIGNANT HYPERTHERMIA,Therapeutic or Preventive Procedure
LIMITATION OF MOVEMENT AT ANKLES,Body Location or Region
ABNORMALITY OF THE ANKLES,Body Location or Region
ANOREXIA,Disease or Syndrome
ANTINUCLEAR ANTIBODY POSITIVE,Immunologic Factor
DECREASED REACTIVITY TO SKIN TEST ANTIGENS,Immunologic Factor
DILATATION OF THE AORTIC ARCH,"Body Part, Organ, or Organ Component"
APNEA DURING SEIZURE SPELLS,Pathologic Function
ARACHNODACTYLY,Congenital Abnormality
CEREBRAL ARTERY ATHEROSCLEROSIS,"Body Part, Organ, or Organ Component"
ARTERIES SHOW MEDIAL HYPERTROPHY,"Body Part, Organ, or Organ Component"
ARTERIOSCLEROSIS,Disease or Syndrome
ARTERIOVENOUS FISTULAS OF CELIAC AND MESENTERIC VESSELS,Anatomical Abnormality
ARTHRALGIA,Sign or Symptom
ARTHRITIS,Disease or Syndrome
GOUTY ARTHRITIS,Disease or Syndrome
"RHEUMATOID ARTHRITIS, JUVENILE",Disease or Syndrome
ARTHROGRYPOSIS MAY OCCUR,Disease or Syndrome
ARTHROGRYPOSIS MULTIPLEX CONGENITA,Disease or Syndrome
RECURRENT INFECTIONS DUE TO ASPIRATION,Organism Function
WEAKNESS OF LONG FINGER EXTENSOR MUSCLES,Sign or Symptom
UPPER LIMB WEAKNESS AND ATROPHY PREDOMINATES,Sign or Symptom
WEAK OR ABSENT DEEP TENDON REFLEXES,Sign or Symptom
ATRIAL FIBRILLATION,Pathologic Function
SPARSE AXILLARY AND FACIAL HAIR,Body Location or Region
SPARSE AXILLARY AND PUBIC HAIR,Body Location or Region
ABNORMALITY OF THE RENIN-ALDOSTERONE AXIS,"Body Part, Organ, or Organ Component"
EXCESSIVE SKIN WRINKLING ON DORSUM OF HANDS AND FINGERS,Body Location or Region
"PRONE TO BACTERIAL INFECTION, BUT NOT VIRAL",Disease or Syndrome
MRI SHOWS SYMMETRIC LESIONS OF THE BASAL GANGLIA,"Body Part, Organ, or Organ Component"
"NEUROPATHOLOGY SHOWS NEURONAL LOSS IN BASAL GANGLIA, BRAINSTEM, AND CEREBELLUM","Body Part, Organ, or Organ Component"
BASAL GANGLIA CALCIFICATION,"Body Part, Organ, or Organ Component"
"RESTRICTIVE BEHAVIOUR, INTERESTS, AND ACTIVITIES",Individual Behavior
"HEARING LOSS, CONDUCTIVE",Individual Behavior
INCREASED SERUM BETA-HEXOSAMINIDASE,"Amino Acid, Peptide, or Protein"
"BILIARY ATRESIA, EXTRAHEPATIC",Congenital Abnormality
AXONAL REGENERATION ON NERVE BIOPSY,Diagnostic Procedure
MICROVESICULAR STEATOSIS,Diagnostic Procedure
WEIGHT LESS THAN 3RD PERCENTILE,Organism Attribute
AMBIGUOUS EXTERNAL GENITALIA,Organism Function
APLASIA OF THE BLADDER,"Body Part, Organ, or Organ Component"
SPHINCTER DISTURBANCES (BLADDER),"Body Part, Organ, or Organ Component"
PROLONGED BLEEDING TIME,Laboratory Procedure
BLEPHARITIS,Disease or Syndrome
ABNORMALITY OF COAGULATION,Organ or Tissue Function
ABNORMALITY OF THE RETINAL VASCULATURE,"Body Part, Organ, or Organ Component"
ABNORMALITY OF THE MINERALISATION AND OSSIFICATION OF BONES OF THE FEET,Clinical Attribute
PATCHY OSTEOSCLEROSIS,Clinical Attribute
INCREASED SPINAL BONE DENSITY,Clinical Attribute
GENERALIZED ABNORMALITY OF THE BONE MARROW,Tissue
ENDOPOLYPLOIDY ON CHROMOSOME STUDIES OF BONE MARROW,Tissue
FOAM CELLS ON BONE MARROW BIOPSY,Diagnostic Procedure
BRAIN MACROGYRIA AND POLYMICROGYRIA,"Body Part, Organ, or Organ Component"
ABNORMAL AUDITORY EVOKED POTENTIALS,"Body Part, Organ, or Organ Component"
"LESIONS IN BASAL GANGLIA, BRAINSTEM, CEREBELLUM, THALAMUS, SPINAL CORD","Body Part, Organ, or Organ Component"
"BREAST CANCER, FREQUENTLY BILATERAL AND MULTIFOCAL",Neoplastic Process
CACHEXIA,Sign or Symptom
CHOROID PLEXUS CALCIFICATION,Organ or Tissue Function
PREMATURE CALCIFICATION OF MITRAL ANNULUS,Organ or Tissue Function
RATIO OF RENAL CALCIUM CLEARANCE TO CREATININE CLEARANCE USUALLY BELOW 0.01,Biologically Active Substance
SMALL CAPITAL FEMORAL EPIPHYSES,Quantitative Concept
PAPILLARY RENAL CELL CARCINOMA,Neoplastic Process
SQUAMOUS CELL CARCINOMA OF THE SKIN,Neoplastic Process
SQUAMOUS CELL CARCINOMA,Neoplastic Process
DILATED CARDIOMYOPATHY MAY BE PRESENT,Disease or Syndrome
DISHARMONIOUS CARPAL BONE,"Body Part, Organ, or Organ Component"
TWO CARPAL OSSIFICATION CENTERS PRESENT AT BIRTH,"Body Part, Organ, or Organ Component"
ABSENT CARPAL BONES/ABSENT OSSIFICATION OF THE CARPAL BONES,"Body Part, Organ, or Organ Component"
BONE-IN-A-BONE APPEARANCE OF CARPAL BONES,"Body Part, Organ, or Organ Component"
WHITE CORNEAL OPACIFICATION,Population Group
CEREBELLAR ATAXIA ASSOCIATED WITH QUADRUPEDAL GAIT,Sign or Symptom
CEREBELLAR DYSPLASIA,"Body Part, Organ, or Organ Component"
RECURRENT CEREBELLAR AND EXTRAPYRAMIDAL ENCEPHALOPATHY,"Body Part, Organ, or Organ Component"
ABNORMALITIES OF THE CEREBRAL ARTERIES,"Body Part, Organ, or Organ Component"
SMALL CEREBRAL ARTERIES SHOW ARTERIOSCLEROTIC CHANGES,"Body Part, Organ, or Organ Component"
NEURONAL LOSS IN THE CEREBRAL CORTEX,"Body Part, Organ, or Organ Component"
CORTICAL THINNING (HUMERAL),"Body Part, Organ, or Organ Component"
THICKENED CORTEX OF LONG BONES,"Body Part, Organ, or Organ Component"
CEREBRAL PARALYSIS,Disease or Syndrome
INCREASED CSF PROTEIN,Functional Concept
PUFFY CHEEKS,Body Location or Region
ABNORMALITY OF THE CHIN,Body Location or Region
CHOLELITHIASIS,Disease or Syndrome
MILD ELEVATION OF CHOLESTEROL,Biologically Active Substance
HETEROTOPIAS/ABNORMAL MIGRATION,Pathologic Function
"COLOBOMAS OF OPTIC DISK, CHOROID, CILIARY BODY, AND IRIS","Body Part, Organ, or Organ Component"
CHOROID PLEXUS CALCIFICATION,"Body Part, Organ, or Organ Component"
ENDOPOLYPLOIDY ON CHROMOSOME STUDIES OF BONE MARROW,Cell Component
"LOSS OF HETEROZYGOSITY, MULTIPLE CHROMOSOMES",Cell Component
SCARRING,Pathologic Function
"COLOBOMAS OF OPTIC DISK, CHOROID, CILIARY BODY, AND IRIS","Body Part, Organ, or Organ Component"
HYPOPLASIA OF THE CILIARY BODY,"Body Part, Organ, or Organ Component"
UNDULATE CLAVICLES,"Body Part, Organ, or Organ Component"
APLASIA/HYPOPLASIA OF THE CLAVICLES,"Body Part, Organ, or Organ Component"
CLUBBING,Acquired Abnormality
LONG COCCYX,"Body Part, Organ, or Organ Component"
"COLOBOMAS OF OPTIC DISK, CHOROID, CILIARY BODY, AND IRIS",Congenital Abnormality
INCREASED RISK OF COLORECTAL CANCER,Neoplastic Process
"XERODERMA PIGMENTOSUM COMPLEMENTATION GROUP E, SUBTYPE 2","Amino Acid, Peptide, or Protein"
DECREASED SERUM COMPLEMENT C3,"Amino Acid, Peptide, or Protein"
DECREASED SERUM COMPLEMENT C3,Immunologic Factor
"SENSORINEURAL HEARING LOSS, PROFOUND CONGENITAL",Qualitative Concept
CONGENITAL CONDUCTIVE DEAFNESS,Qualitative Concept
"HEARING LOSS, CONGENITAL SENSORINEURAL",Qualitative Concept
CONGENITAL ONYCHODYSTROPHY,Qualitative Concept
CONGENITAL CORNEA PLANA,Qualitative Concept
CONGENITAL COMPLETE ACHROMATOPSIA,Qualitative Concept
CONGENITAL RETINAL DETACHMENT,Qualitative Concept
CONGENITAL HORIZONTAL NYSTAGMUS,Qualitative Concept
CONGENITAL INTRACEREBRAL CALCIFICATION,Qualitative Concept
"PULMONARY LYMPHANGIECTASIA, CONGENITAL",Qualitative Concept
MULTIPLE PRENATAL FRACTURES,Qualitative Concept
"CONGENITAL, SLOWLY PROGRESSIVE PERCEPTIVE DEAFNESS",Qualitative Concept
CONGENITAL BLEEDING DIATHESIS,Qualitative Concept
CONGENITAL FIBROSIS OF EXTRAOCULAR MUSCLES,Qualitative Concept
POOR PROTHROMBIN CONSUMPTION,Activity
CONTRACTURES OF THE DISTAL INTERPHALANGEAL JOINTS OF THE FINGERS,Acquired Abnormality
CONTRACTURES INVOLVING THE TOES,Acquired Abnormality
CONTRACTURES OF THE INTERPHALANGEAL JOINT OF THE HALLUX,Acquired Abnormality
CONTRACTURES OF LOWER LIMBS,Acquired Abnormality
JOINT CONTRACTURES OF THE 5TH FINGER,Acquired Abnormality
CAMPTODACTYLY OF FINGERS 4 AND 5,Acquired Abnormality
MILD JOINT CONTRACTURES,Acquired Abnormality
ECCHYMOSES,Injury or Poisoning
SPECKLED CORNEAL DYSTROPHY,Disease or Syndrome
NODULAR CORNEAL DYSTROPHY,Disease or Syndrome
MARGINAL CORNEAL DYSTROPHY,Disease or Syndrome
VARIABLE DEGREE OF CORNEAL OPACITIES,Finding
CORNEAL CLOUDING,Finding
MRI SHOWS DEFECTS OF THE CORPUS CALLOSUM,"Body Part, Organ, or Organ Component"
APLASIA/HYPOPLASIA OF THE CORPUS CALLOSUM,"Body Part, Organ, or Organ Component"
CRANIAL NERVE MOTOR LOSS,"Body Part, Organ, or Organ Component"
CONGENITAL CRANIOFACIAL DYSOSTOSIS,Disease or Syndrome
"CRANIOSYNOSTOSIS, CORONAL AND LAMBDOIDAL",Congenital Abnormality
CUSHING SYNDROME,Disease or Syndrome
"LOOSE, REDUNDANT SKIN ON FINGERS",Disease or Syndrome
CUTIS LAXA,Disease or Syndrome
CYSTIC MACULAR DEGENERATION,Disease or Syndrome
CYSTIC RENAL DYSPLASIA,Disease or Syndrome
DEFICIENCY OR ABSENCE OF CYTOCHROME B(-245),"Amino Acid, Peptide, or Protein"
MUSCLE BIOPSY SHOWS DECREASED ACTIVITY OF CYTOCHROME C OXIDASE IN MOST CASES,"Amino Acid, Peptide, or Protein"
DANDY-WALKER MALFORMATION,Disease or Syndrome
"SUDDEN EPISODIC APNEA, SEVERE, MAY CAUSE DEATH",Organism Function
STILLBORN OR DEATH SHORTLY AFTER BIRTH,Organism Function
"METHYLCOBALAMIN, CBL G, DEFICIENCY",Functional Concept
THYROID STIMULATING HORMONE DEFICIENCY,Functional Concept
KININOGEN DEFICIENCY,Functional Concept
4-HYDROXYPHENYLPYRUVIC ACID DIOXYGENASE DEFICIENCY (HPD),Functional Concept
DEFICIENT N-ACETYLGLUCOSAMINYLTRANSFERASE II,Functional Concept
DEFICIENCY OR ABSENCE OF CYTOCHROME B(-245),Functional Concept
DECREASED IGA,Functional Concept
RESTRICTIVE RESPIRATORY INSUFFICIENCY,Functional Concept
NEUROAXONAL DEGENERATION IN THE BRAIN,Pathologic Function
SPINOCEREBELLAR TRACT DEGENERATION,Pathologic Function
"DEMYELINATION, SYMMETRIC",Pathologic Function
AXONAL LOSS WITH LITTLE EVIDENCE OF DEMYELINATION OR HYPERTROPHIC CHANGES IN NERVE BIOPSIES,Pathologic Function
"DECREASED NERVE CONDUCTION VELOCITIES (NCV), SUGGESTING DEMYELINATION",Pathologic Function
HYPOMINERALIZATION OF ENAMEL,Body Substance
ABNORMALITY OF DENTAL ENAMEL,Body Substance
RESPIRATORY FAILURE REQUIRING ASSISTED VENTILATION,Mental Process
"ATOPIC DERMATITIS, CHRONIC",Disease or Syndrome
ACANTHOSIS NIGRICANS IN PATIENTS WITH DIABETES,Disease or Syndrome
NONINSULIN-DEPENDENT DIABETES MELLITUS,Disease or Syndrome
NONINSULIN-DEPENDENT DIABETES MELLITUS,Disease or Syndrome
ABNORMALITY OF THE DIAPHRAGM,"Body Part, Organ, or Organ Component"
INTRACTABLE DIARRHEA,Sign or Symptom
DILATATION OF THE ASCENDING AORTA,Therapeutic or Preventive Procedure
LOWER URINARY TRACT DILATATION,Therapeutic or Preventive Procedure
ELEVATED PROSTAGLANDIN E2,Pharmacologic Substance
ELEVATED PROSTAGLANDIN E2,Hormone
"OCULAR ALBINISM, TYROSINASE-POSITIVE",Enzyme
UPPER MOTOR NEURON ABNORMALITY,Disease or Syndrome
INCREASED PREVALENCE OF VALVULAR DISEASE,Disease or Syndrome
SUSCEPTIBILITY TO PYOGENIC INFECTION,Clinical Attribute
TEMPORAL DISPLACEMENT OF MACULAE,Mental Process
DEVIATION OF THE 4TH FINGER,Spatial Concept
DEVIATION/DISPLACEMENT OF THE HALLUX,Spatial Concept
HALLUX VALGUS,Spatial Concept
GLOBE RETRACTION AND DEVIATION ON ADDUCTION,Spatial Concept
WIDE INTERMAMILLARY DISTANCE,Quantitative Concept
COLON DIVERTICULA,Anatomical Abnormality
LATE-ONSET FORM OF FAMILIAL ALZHEIMER DISEASE,Biomedical or Dental Material
SOMNOLENCE,Finding
DUANE ANOMALY,Disease or Syndrome
"DWARFISM, SHORT-TRUNK, SHORT-LIMBED",Congenital Abnormality
"DWARFISM, SHORT LIMB MESOMELIC",Congenital Abnormality
"DWARFISM, BIRTH WEIGHT NORMAL",Congenital Abnormality
DWARFISM,Congenital Abnormality
"DWARFISM, SHORT-TRUNK, SHORT-LIMBED",Disease or Syndrome
BREATHING DIFFICULTY DUE TO VOCAL CORD PARALYSIS,Sign or Symptom
DYSTONIA,Sign or Symptom
HORIZONTAL ORIENTATION OF THE EAR CRUS,"Body Part, Organ, or Organ Component"
APLASIA/HYPOPLASIA AFFECTING THE EARS,"Body Part, Organ, or Organ Component"
"HYPERTROPHIC ICHTHYOSIS, ESP SCALP, EARS, NECK AND FLEXURES","Body Part, Organ, or Organ Component"
ABNORMAL FORM OF EARS,"Body Part, Organ, or Organ Component"
STENOTIC EXTERNAL AUDITORY CANAL,Body Space or Junction
HAIR-NAIL ECTODERMAL DYSPLASIA,Embryonic Structure
ECZEMA,Disease or Syndrome
TRANSIENT SWELLING OF MUSCLE INDUCED BY PERCUSSION,Pathologic Function
ABNORMALITY OF THE ELBOW,Body Location or Region
ANTECUBITAL PTERYGIUM,Body Location or Region
SYNOVIAL CHONDROMATOSIS OF THE ELBOW,Body Location or Region
FLARED METAPHYSES (ELBOW),Body Location or Region
IRREGULAR EPIPHYSES OF THE ELBOW,Body Location or Region
ABNORMALITY OF THE EPIPHYSES OF THE ELBOW,Body Location or Region
HYPERTRICHOSIS LIMITED TO ELBOWS,Body Location or Region
OSTEOARTHRITIS OF THE ELBOW,Body Space or Junction
ABNORMALITY OF THE EPIPHYSES OF THE ELBOW,Body Space or Junction
LIMITED ELBOW EXTENSION,Body Space or Junction
ABSENT CONE AND ROD FUNCTIONS BY ELECTRORETINOGRAM,Diagnostic Procedure
ENCEPHALITIS,Disease or Syndrome
ENDOCRINE ABNORMALITY,Body System
ABNORMAL ENDOCRINOLOGICAL LABORATORY FINDINGS,Biomedical Occupation or Discipline
ENOPHTHALMOS,Disease or Syndrome
ENTROPION,Disease or Syndrome
ENURESIS DIURNA,Sign or Symptom
EPIDERMOLYSIS BULLOSA INVOLVING HANDS AND FEET ONLY,Congenital Abnormality
EPIDIDYMITIS,Disease or Syndrome
MYOCLONIC SEIZURES,Disease or Syndrome
TRIANGULAR EPIPHYSES OF THE PROXIMAL PHALANGES OF THE HAND,"Body Part, Organ, or Organ Component"
ABNORMALITY OF THE EPIPHYSES OF THE MIDDLE PHALANGES OF THE HAND,"Body Part, Organ, or Organ Component"
ABNORMALITY OF THE EPIPHYSES OF THE DISTAL PHALANGES OF THE HAND,"Body Part, Organ, or Organ Component"
ABSENT EPIPHYSES OF THE MIDDLE PHALANGES OF THE HAND,"Body Part, Organ, or Organ Component"
ABNORMALITY OF THE EPIPHYSIS OF THE FEMORAL HEAD,"Body Part, Organ, or Organ Component"
FRAGMENTATION OF THE EPIPHYSIS OF THE MIDDLE PHALANX OF THE 3RD FINGER,"Body Part, Organ, or Organ Component"
BRACKET EPIPHYSES OF THE THUMB,"Body Part, Organ, or Organ Component"
TRIANGULAR EPIPHYSIS OF THE PROXIMAL PHALANX OF THE 4TH FINGER,"Body Part, Organ, or Organ Component"
ABNORMALITY OF THE EPIPHYSIS OF THE PROXIMAL PHALANX OF THE THUMB,"Body Part, Organ, or Organ Component"
ABNORMALITY OF THE EPIPHYSIS OF THE DISTAL PHALANX OF THE THUMB,"Body Part, Organ, or Organ Component"
FRAGMENTATION OF THE EPIPHYSES OF THE 5TH FINGER,"Body Part, Organ, or Organ Component"
BRACKET EPIPHYSES OF THE 5TH FINGER,"Body Part, Organ, or Organ Component"
ABNORMALITY OF THE EPIPHYSIS OF THE DISTAL PHALANX OF THE 4TH FINGER,"Body Part, Organ, or Organ Component"
TRIANGULAR EPIPHYSIS OF THE DISTAL PHALANX OF THE 4TH FINGER,"Body Part, Organ, or Organ Component"
STIPPLING OF THE EPIPHYSIS OF THE PROXIMAL PHALANX OF THE 3RD FINGER,"Body Part, Organ, or Organ Component"
ABNORMALITY OF THE EPIPHYSIS OF THE PROXIMAL PHALANX OF THE 2ND FINGER,"Body Part, Organ, or Organ Component"
ABNORMALITY OF THE EPIPHYSIS OF THE DISTAL PHALANX OF THE 3RD FINGER,"Body Part, Organ, or Organ Component"
FRAGMENTATION OF THE EPIPHYSIS OF THE DISTAL PHALANX OF THE 3RD FINGER,"Body Part, Organ, or Organ Component"
ABNORMALITY OF THE EPIPHYSIS OF THE DISTAL PHALANX OF THE 2ND FINGER,"Body Part, Organ, or Organ Component"
ABSENT EPIPHYSIS OF THE 1ST METACARPAL,"Body Part, Organ, or Organ Component"
TRIANGULAR EPIPHYSES OF THE METACARPALS,"Body Part, Organ, or Organ Component"
ABSENT EPIPHYSIS OF THE PROXIMAL PHALANX OF THE HALLUX,"Body Part, Organ, or Organ Component"
FRAGMENTATION OF THE EPIPHYSIS OF THE PROXIMAL PHALANX OF THE HALLUX,"Body Part, Organ, or Organ Component"
ABSENT EPIPHYSIS OF THE 1ST METATARSAL,"Body Part, Organ, or Organ Component"
ABSENT EPIPHYSIS OF THE MIDDLE PHALANX OF THE 5TH FINGER,"Body Part, Organ, or Organ Component"
SEVERE DELAY IN PHALANGEAL EPIPHYSEAL BONE MATURATION,"Body Part, Organ, or Organ Component"
"FLATTENED, SQUARED-OFF EPIPHYSES OF TUBULAR BONES","Body Part, Organ, or Organ Component"
PREMATURE FUSION OF PHALANGEAL EPIPHYSES,"Body Part, Organ, or Organ Component"
ABSENT EPIPHYSIS OF THE DISTAL PHALANX OF THE 5TH FINGER,"Body Part, Organ, or Organ Component"
EVENTRATION OF THE RIGHT OR BOTH HEMIDIAPHRAGMS,Anatomical Abnormality
EVERSION OF LATERAL THIRD OF LOWER EYELIDS,Functional Concept
PATTERN VISUAL EVOKED POTENTIALS SHOW REDUCED AMPLITUDE,Organ or Tissue Function
PRECOCIOUS ERUPTION OF SECONDARY TEETH,Disease or Syndrome
ELEVATED CREATINE KINASE AFTER EXERCISE,Daily or Recreational Activity
EXERCISE-INDUCED MUSCLE STIFFNESS,Daily or Recreational Activity
PROPTOSIS,Disease or Syndrome
PROPTOSIS,Disease or Syndrome
SYMMETRIC PROXIMAL MUSCULAR ATROPHY,"Body Part, Organ, or Organ Component"
ABNORMALITY OF THE EXTREMITIES,"Body Part, Organ, or Organ Component"
